match_id,h_id,h_name,a_id,a_name,h_p1_id,h_p1_name,h_p1_pos,h_p1_t,h_p2_id,h_p2_name,h_p2_pos,h_p2_t,h_p3_id,h_p3_name,h_p3_pos,h_p3_t,h_p4_id,h_p4_name,h_p4_pos,h_p4_t,h_p5_id,h_p5_name,h_p5_pos,h_p5_t,h_p6_id,h_p6_name,h_p6_pos,h_p6_t,h_p7_id,h_p7_name,h_p7_pos,h_p7_t,h_p8_id,h_p8_name,h_p8_pos,h_p8_t,h_p9_id,h_p9_name,h_p9_pos,h_p9_t,h_p10_id,h_p10_name,h_p10_pos,h_p10_t,h_p11_id,h_p11_name,h_p11_pos,h_p11_t,h_p12_id,h_p12_name,h_p12_pos,h_p12_t,h_p13_id,h_p13_name,h_p13_pos,h_p13_t,h_p14_id,h_p14_name,h_p14_pos,h_p14_t,a_p1_id,a_p1_name,a_p1_pos,a_p1_t,a_p2_id,a_p2_name,a_p2_pos,a_p2_t,a_p3_id,a_p3_name,a_p3_pos,a_p3_t,a_p4_id,a_p4_name,a_p4_pos,a_p4_t,a_p5_id,a_p5_name,a_p5_pos,a_p5_t,a_p6_id,a_p6_name,a_p6_pos,a_p6_t,a_p7_id,a_p7_name,a_p7_pos,a_p7_t,a_p8_id,a_p8_name,a_p8_pos,a_p8_t,a_p9_id,a_p9_name,a_p9_pos,a_p9_t,a_p10_id,a_p10_name,a_p10_pos,a_p10_t,a_p11_id,a_p11_name,a_p11_pos,a_p11_t,a_p12_id,a_p12_name,a_p12_pos,a_p12_t,a_p13_id,a_p13_name,a_p13_pos,a_p13_t,a_p14_id,a_p14_name,a_p14_pos,a_p14_t
1080506,13,Arsenal,26,Liverpool,6775,Petr Cech,Goalkeeper,1.0,125211,Héctor Bellerín,Defender,1.0,124316,Calum Chambers,Defender,1.0,288795,Rob Holding,Defender,1.0,23072,Nacho Monreal,Defender,1.0,125209,Mohamed Elneny,Midfielder,0.7455555555555555,69738,Francis Coquelin,Midfielder,1.0,13796,Theo Walcott,Forward,1.0,26820,Aaron Ramsey,Forward,0.6777777777777778,136824,Alex Iwobi,Forward,0.65518518518518,25244,Alexis Sánchez,Forward,1.0,84146,Alex Oxlade-Chamberlain,Forward,0.3448148148148148,4522,Santi Cazorla,Forward,0.3222222222222222,89401,Granit Xhaka,Midfielder,0.2544444444444445,52197,Simon Mignolet,Goalkeeper,1.0,69375,Nathaniel Clyne,Defender,1.0,29106,Dejan Lovren,Defender,1.0,10839,Ragnar Klavan,Defender,1.0,113275,Alberto Moreno,Defender,1.0,33568,Georginio Wijnaldum,Midfielder,0.9827777777777779,21683,Adam Lallana,Midfielder,0.8472222222222222,68659,Jordan Henderson,Midfielder,1.0,109915,Sadio Mané,Forward,1.0,96182,Roberto Firmino,Forward,1.0,80767,Philippe Coutinho,Forward,0.7794444444444445,111212,Emre Can,Forward,0.2205555555555555,124688,Divock Origi,Midfielder,0.1527777777777778,107846,Kevin Stewart,Midfielder,0.01722222222222214
1080507,183,Bournemouth,32,Man Utd,14111,Artur Boruc,Goalkeeper,1.0,69877,Adam Smith,Defender,1.0,9298,Simon Francis,Defender,1.0,68662,Steve Cook,Defender,1.0,24827,Charlie Daniels,Defender,1.0,67807,Harry Arter,Midfielder,1.0,13447,Andrew Surman,Midfielder,1.0,136456,Lewis Cook,Midfielder,0.9037037037037037,105797,Jordon Ibe,Forward,0.7568518518518518,134115,Callum Wilson,Forward,0.7455555555555,81026,Joshua King,Forward,1.0,19736,Lewis Grabban,Forward,0.2544444444444445,93647,Benik Afobe,Forward,0.24314814814814822,29814,Max-Alain Gradel,Midfielder,0.09629629629629632,79554,David de Gea,Goalkeeper,1.0,18296,Luis Antonio Valencia,Defender,1.0,70033,Daley Blind,Defender,1.0,243814,Eric Bailly,Defender,1.0,118244,Luke Shaw,Defender,1.0,22738,Marouane Fellaini,Midfielder,1.0,71174,Ander Herrera,Midfielder,1.0,25363,Juan Mata,Forward,0.835925925925926,3859,Wayne Rooney,Forward,0.9940740740740741,122366,Anthony Martial,Forward,0.948888888888889,3281,Zlatan Ibrahimovic,Forward,1.0,28421,Henrikh Mkhitaryan,Forward,0.16407407407407404,29544,Morgan Schneiderlin,Forward,0.051111111111110996,110154,Memphis Depay,Forward,0.00592592592592589
1080508,184,Burnley,259,Swansea,17708,Tom Heaton,Goalkeeper,1.0,80067,Matthew Lowton,Defender,1.0,94935,Ben Mee,Defender,1.0,107941,Michael Keane,Defender,1.0,15764,Stephen Ward,Defender,1.0,13056,George Boyd,Midfielder,1.0,5566,Dean Marney,Midfielder,1.0,12713,David Jones,Midfielder,0.9714814814814815,21686,Scott Arfield,Midfielder,0.835925925925,131487,Andre Gray,Forward,1.0,13938,Sam Vokes,Forward,1.0,41868,Johann Gudmundsson,Midfielder,0.16407407407407404,14013,Lukas Jutkiewicz,Midfielder,0.0285185185185185,,,,0.0,20973,Lukasz Fabianski,Goalkeeper,1.0,34131,Kyle Naughton,Defender,1.0,44847,Federico Fernández,Defender,1.0,83357,Jordi Amat,Defender,1.0,100718,Stephen Kingsley,Defender,1.0,35174,Leroy Fer,Midfielder,1.0,22847,Jack Cork,Midfielder,1.0,8730,Leon Britton,Midfielder,0.6664814814814815,248351,Modou Barrow,Forward,0.7116666666666667,13361,Fernando Llorente,Forward,1.0,4759,Wayne Routledge,Forward,0.9714814814814815,69346,Gylfi Sigurdsson,Midfielder,0.33351851851851855,28416,Jefferson Montero,Forward,0.28833333333333333,29820,Angel Rangel,Forward,0.0285185185185185
1080509,15,Chelsea,29,West Ham,73798,Thibaut Courtois,Goalkeeper,1.0,15338,Branislav Ivanovic,Defender,1.0,11981,Gary Cahill,Defender,1.0,70,John Terry,Defender,1.0,25931,César Azpilicueta,Defender,1.0,114075,N'Golo Kanté,Midfielder,1.0,29463,Willian,Forward,0.8924074074074073,41065,Oscar,Forward,0.948888888888889,38128,Nemanja Matic,Forward,1.0,33404,Eden Hazard,Forward,1.0,24248,Diego Costa,Forward,1.0,44055,Pedro,Forward,0.10759259259259268,97803,Michy Batshuayi,Forward,0.051111111111110996,,,,0.0,73399,Adrián,Goalkeeper,1.0,69517,Michail Antonio,Defender,0.5761111111111111,19277,Winston Reid,Defender,1.0,8148,James Collins,Defender,1.0,122980,Arthur Masuaku,Defender,1.0,21742,Håvard Nordtveit,Midfielder,0.7455555555555555,66741,Cheikhou Kouyaté,Midfielder,1.0,8247,Mark Noble,Midfielder,1.0,30060,André Ayew,Forward,0.38407407407407,23383,Andy Carroll,Forward,1.0,83895,Enner Valencia,Forward,1.0,71015,Gökhan Töre,Forward,0.6159259259259259,118303,Sam Byram,Defender,0.42388888888888887,14058,Dimitri Payet,Midfielder,0.2544444444444445
1080510,162,Crystal Palace,175,West Brom,21571,Wayne Hennessey,Goalkeeper,1.0,43105,Joel Ward,Defender,1.0,8466,Damien Delaney,Defender,1.0,12124,Scott Dann,Defender,1.0,79970,Pape Souaré,Defender,1.0392592592592593,13727,Mile Jedinak,Midfielder,1.0,9156,Jason Puncheon,Midfielder,0.8585185185185185,71522,Andros Townsend,Forward,1.0,42915,Chung-Yong Lee,Forward,0.7342592592592,85059,Wilfried Zaha,Forward,1.0,73382,Connor Wickham,Forward,1.0,69844,Yannick Bolasie,Forward,0.26574074074074083,12376,Yohan Cabaye,Midfielder,0.14148148148148154,44687,Martin Kelly,Defender,-0.03925925925925933,11530,Ben Foster,Goalkeeper,1.0,73063,Craig Dawson,Defender,1.0,6695,Jonas Olsson,Defender,1.0,8773,Gareth McAuley,Defender,1.0,22079,Jonny Evans,Defender,1.0,40036,Matt Phillips,Midfielder,1.0,35691,Claudio Yacob,Midfielder,1.0,5835,Darren Fletcher,Midfielder,1.0,14038,Craig Gardner,Midfielder,0.7907407407407,94024,Saido Berahino,Forward,0.9601851851851853,25964,Salomón Rondón,Forward,1.0,76050,James McClean,Midfielder,0.20925925925925926,10498,James Morrison,Forward,0.03981481481481475,,,,0.0
1080511,31,Everton,30,Tottenham,4065,Maarten Stekelenburg,Goalkeeper,1.0,121454,Ramiro Funes Mori,Defender,1.0,297544,Mason Holgate,Defender,1.0,6105,Phil Jagielka,Defender,1.0,31281,James McCarthy,Midfielder,1.0,8222,Leighton Baines,Midfielder,1.0,80464,Idrissa Gueye,Midfielder,1.0,188,Gareth Barry,Midfielder,0.948888888888889,92547,Ross Barkley,Forward,1.0,98317,Gerard Deulofeu,Forward,0.7568518518518518,15834,Kevin Mirallas,Forward,0.8472222222222222,8943,Arouna Koné,Forward,0.24314814814814822,5625,Aaron Lennon,Forward,0.1527777777777778,69956,Tom Cleverley,Midfielder,0.051111111111110996,25604,Hugo Lloris,Goalkeeper,0.384074074074074,69778,Kyle Walker,Defender,1.0,21778,Jan Vertonghen,Defender,1.0,69933,Toby Alderweireld,Defender,1.0,24711,Danny Rose,Defender,1.0,71714,Victor Wanyama,Midfielder,1.0,117973,Eric Dier,Midfielder,0.6212962962962962,75830,Erik Lamela,Forward,1.0,131519,Dele Alli,Forward,1.0,69344,Christian Eriksen,Forward,1.0,83532,Harry Kane,Forward,1.0,19270,Michel Vorm,Goalkeeper,0.6159259259259259,133381,Vincent Janssen,Midfielder,0.37870370370370376,,,,0.0
1080512,214,Hull,14,Leicester,18310,Eldin Jakupovic,Goalkeeper,1.0,34876,Ahmed El Mohamady,Defender,1.0,36849,Jake Livermore,Defender,1.0,8484,Curtis Davies,Defender,1.0,115726,Andrew Robertson,Defender,1.0,41589,David Meyler,Midfielder,1.0,8194,Tom Huddlestone,Midfielder,1.0,134459,Sam Clucas,Midfielder,1.0,9767,Robert Snodgrass,Forward,1.0,32741,Abel Hernández,Forward,1.0,243562,Adama Diomande,Forward,1.0,,,,0.0,,,,0.0,,,,0.0,19545,Kasper Schmeichel,Goalkeeper,1.0,23683,Danny Simpson,Defender,0.9262962962962962,8157,Wes Morgan,Defender,1.0,294139,Luis Hernández,Defender,1.0,12431,Christian Fuchs,Defender,1.0,104749,Riyad Mahrez,Midfielder,1.0,75138,Daniel Drinkwater,Midfielder,1.0,32018,Andy King,Midfielder,1.0,136945,Demarai Gray,Midfielder,0.756851851851851,93577,Ahmed Musa,Forward,1.0,106981,Jamie Vardy,Forward,1.0,26222,Shinji Okazaki,Midfielder,0.24314814814814822,19847,Leonardo Ulloa,Defender,0.07370370370370383,,,,0.0
1080513,167,Man City,16,Sunderland,34749,Willy Caballero,Goalkeeper,1.0,19471,Bacary Sagna,Defender,1.0,12267,Aleksandar Kolarov,Defender,1.0,101374,John Stones,Defender,1.0,6042,Gaël Clichy,Defender,0.8924074074074073,19119,Fernandinho,Midfielder,1.0,14102,David Silva,Midfielder,0.7116666666666667,97692,Raheem Sterling,Forward,1.0,73084,Kevin De Bruyne,Forward,1.0,91267,Nolito,Forward,0.6551851851851852,14260,Sergio Agüero,Forward,1.0,9446,Jesús Navas,Forward,0.3448148148148148,27213,Fabian Delph,Midfielder,0.28833333333333333,289253,Kelechi Iheanacho,Defender,0.10759259259259268,21682,Vito Mannone,Goalkeeper,1.0,303379,Donald Love,Defender,1.0,14805,Younes Kaboul,Defender,1.0,34214,Lamine Koné,Defender,1.0,78221,Patrick van Aanholt,Defender,1.0,3841,John O'Shea,Midfielder,1.0,33833,Jack Rodwell,Midfielder,1.0,141512,Duncan Watmore,Forward,0.7116666666666667,80882,Fabio Borini,Forward,1.0,294849,Lynden Gooch,Forward,0.7229629629629629,2837,Jermain Defoe,Forward,0.9262962962962962,130334,Adnan Januzaj,Forward,0.28833333333333333,71381,Wahbi Khazri,Forward,0.2770370370370371,244565,Patrick McNair,Forward,0.07370370370370383
1080514,21,Middlesbrough,96,Stoke,9484,Víctor Valdés,Goalkeeper,1.0,32224,Nsue,Defender,1.0,14085,Antonio Barragán,Defender,1.0,86458,Ben Gibson,Defender,1.0,34822,George Friend,Defender,1.0,85070,Marten de Roon,Midfielder,0.23722222222222,70140,Adam Clayton,Midfielder,1.0,35328,Albert Adomah,Forward,1.0,82923,Gastón Ramírez,Forward,0.9827777777777779,5641,Stewart Downing,Forward,1.0,23757,Álvaro Negredo,Forward,1.0,82972,Adam Forshaw,Midfielder,0.7627777777777778,7616,David Nugent,Forward,0.01722222222222214,,,,0.0,1034,Shay Given,Goalkeeper,1.0,18181,Phil Bardsley,Defender,1.0,86173,Philipp Wollscheid,Defender,1.0,29798,Ryan Shawcross,Defender,1.0,24148,Erik Pieters,Defender,1.0,81959,Giannelli Imbula,Midfielder,1.0,8505,Glenn Whelan,Midfielder,1.0,76304,Xherdan Shaqiri,Forward,1.0,31402,Bojan,Forward,0.8698148148148148,34693,Marko Arnautovic,Forward,1.0,26013,Mame Biram Diouf,Forward,0.7681481481481482,3860,Jonathan Walters,Forward,0.23185185185185175,23444,Joe Allen,Forward,0.13018518518518518,,,,0.0
1080515,18,Southampton,27,Watford,29796,Fraser Forster,Goalkeeper,1.0,69945,Cédric Soares,Defender,0.8811111111111111,37204,Maya Yoshida,Defender,1.0,95408,Virgil van Dijk,Defender,1.0,136776,Matt Targett,Defender,1.0,90780,Oriol Romeu,Midfielder,1.0,105172,James Ward-Prowse,Midfielder,0.61,9734,Steven Davis,Midfielder,1.0,29474,Dusan Tadic,Forward,1.0,13798,Shane Long,Forward,0.9262962962962962,86425,Nathan Redmond,Forward,1.0,101859,Pierre-Emile Højbjerg,Midfielder,0.39,42248,Jérémy Pied,Defender,0.11888888888888893,82102,Charlie Austin,Forward,0.07370370370370383,10133,Heurelho Gomes,Goalkeeper,1.0,27349,Sebastian Prödl,Defender,1.0,36096,Miguel Britos,Defender,1.0,25241,Craig Cathcart,Defender,1.0,22932,Nordin Amrabat,Midfielder,1.0,21499,José Holebas,Midfielder,1.0,64343,Adlène Guédioura,Midfielder,0.8133333333333334,33590,Etienne Capoue,Midfielder,1.0,12462,Valon Behrami,Midfielder,0.71166666666666,31376,Odion Ighalo,Forward,0.9037037037037037,25832,Troy Deeney,Forward,1.0,10254,Ben Watson,Midfielder,0.28833333333333333,26682,Juan Camilo Zuñiga,Midfielder,0.18666666666666665,9795,Ikechi Anya,Forward,0.09629629629629632
