match_id,h_id,h_name,a_id,a_name,h_p1_id,h_p1_name,h_p1_pos,h_p1_t,h_p2_id,h_p2_name,h_p2_pos,h_p2_t,h_p3_id,h_p3_name,h_p3_pos,h_p3_t,h_p4_id,h_p4_name,h_p4_pos,h_p4_t,h_p5_id,h_p5_name,h_p5_pos,h_p5_t,h_p6_id,h_p6_name,h_p6_pos,h_p6_t,h_p7_id,h_p7_name,h_p7_pos,h_p7_t,h_p8_id,h_p8_name,h_p8_pos,h_p8_t,h_p9_id,h_p9_name,h_p9_pos,h_p9_t,h_p10_id,h_p10_name,h_p10_pos,h_p10_t,h_p11_id,h_p11_name,h_p11_pos,h_p11_t,h_p12_id,h_p12_name,h_p12_pos,h_p12_t,h_p13_id,h_p13_name,h_p13_pos,h_p13_t,h_p14_id,h_p14_name,h_p14_pos,h_p14_t,a_p1_id,a_p1_name,a_p1_pos,a_p1_t,a_p2_id,a_p2_name,a_p2_pos,a_p2_t,a_p3_id,a_p3_name,a_p3_pos,a_p3_t,a_p4_id,a_p4_name,a_p4_pos,a_p4_t,a_p5_id,a_p5_name,a_p5_pos,a_p5_t,a_p6_id,a_p6_name,a_p6_pos,a_p6_t,a_p7_id,a_p7_name,a_p7_pos,a_p7_t,a_p8_id,a_p8_name,a_p8_pos,a_p8_t,a_p9_id,a_p9_name,a_p9_pos,a_p9_t,a_p10_id,a_p10_name,a_p10_pos,a_p10_t,a_p11_id,a_p11_name,a_p11_pos,a_p11_t,a_p12_id,a_p12_name,a_p12_pos,a_p12_t,a_p13_id,a_p13_name,a_p13_pos,a_p13_t,a_p14_id,a_p14_name,a_p14_pos,a_p14_t
317783,32,Man Utd,157,Birmingham,11530,Ben Foster,Goalkeeper,1,44031,Fabio,Defender,1,18296,Luis Antonio Valencia,Midfielder,1,6410,Patrice Evra,Defender,1,3841,John O'Shea,Defender,1,5835,Darren Fletcher,Midfielder,1,11,Paul Scholes,Midfielder,1,22079,Jonny Evans,Defender,0.823703704,2213,Dimitar Berbatov,Forward,0.822962963,19104,Nani,Midfielder,0.5,3859,Wayne Rooney,Forward,1,77,Ryan Giggs,Midfielder,0.5,7,Michael Owen,Forward,0.177037037,1019,Wes Brown,Defender,0.176296296,8786,Joe Hart,Goalkeeper,1,1354,Stephen Carr,Defender,1,4519,Gr??gory Vignal,Defender,1,11235,Sebastian Larsson,Midfielder,0.901111111,8680,Roger Johnson,Defender,1,114,Lee Carsley,Midfielder,0.821666667,1344,Franck Queudrue,Defender,1,29086,Keith Fahey,Midfielder,1,4762,James McFadden,Midfielder,1,10737,Cameron Jerome,Forward,0.716296296,4737,Barry Ferguson,Midfielder,1,5604,Garry O'Connor,Forward,0.283703704,20986,Christian Benitez,Midfielder,0.178333333,32024,Jay O'Shea,Midfielder,0.098888889
317786,30,Tottenham,26,Liverpool,10133,Heurelho Gomes,Goalkeeper,1,22040,Vedran Corluka,Defender,1,19247,Sebastien Bassong,Defender,1,562,Ledley King,Defender,1,11580,Benoit Assou-Ekotto,Defender,1,5625,Aaron Lennon,Midfielder,1,31549,Wilson Palacios,Midfielder,1,8194,Tom Huddlestone,Midfielder,1,20874,Luka Modric,Midfielder,0.924814815,88,Robbie Keane,Forward,0.751111111,2837,Jermain Defoe,Forward,1.016296296,3807,Peter Crouch,Forward,0.248888889,14171,Jamie O'Hara,Midfielder,0.075185185,7336,Roman Pavlyuchenko,Forward,-0.016296296,2987,Pepe Reina,Goalkeeper,1,4574,Glen Johnson,Defender,1,19840,Martin Skrtel,Defender,0.825740741,1329,Jamie Carragher,Defender,1,26817,Emiliano Ins??a,Defender,1,7516,Dirk Kuyt,Midfielder,0.870185185,7415,Javier Mascherano,Midfielder,1,31451,Lucas Leiva,Midfielder,1,12158,Ryan Babel,Midfielder,0.745185185,17,Steven Gerrard,Forward,1,4056,Fernando Torres,Forward,1,4490,Yossi Benayoun,Midfielder,0.254814815,78559,Daniel Ayala,Defender,0.174259259,5035,Andrey Voronin,Midfielder,0.129814815
317787,24,Aston Villa,194,Wigan,3426,Brad Friedel,Goalkeeper,1,1797,Habib Beye,Defender,0.76037037,4511,James Milner,Midfielder,1,4965,Nicky Shorey,Defender,1,9432,Carlos Cuellar,Defender,1,27213,Fabian Delph,Midfielder,0.672037037,2216,Stiliyan Petrov,Midfielder,1,8484,Curtis Davies,Defender,1,4,Emile Heskey,Forward,1,8166,Ashley Young,Midfielder,1,14036,Gabriel Agbonlahor,Forward,0.850925926,5554,Steve Sidwell,Midfielder,0.327962963,42147,Marc Albrighton,Defender,0.23962963,42146,Nathan Delfouneso,Forward,0.149074074,4472,Chris Kirkland,Goalkeeper,1,1036,Mario Melchiot,Defender,1,9743,Charles N'Zogbia,Midfielder,0.75537037,38671,Maynor Figueroa,Defender,1,5741,Paul Scharner,Defender,1,42868,Hendry Thomas,Midfielder,1,19674,Jordi G??mez,Midfielder,1,339,Titus Bramble,Defender,1,3919,Jason Koumas,Midfielder,0.993888889,25011,Hugo Rodallega,Forward,1.011851852,4732,Michael Brown,Midfielder,1,12779,Scott Sinclair,Midfielder,0.24462963,21068,Cho Won-Hee,Midfielder,0.006111111,8318,Jason Scotland,Forward,-0.011851852
317788,31,Everton,13,Arsenal,5582,Tim Howard,Goalkeeper,1,3030,Tony Hibbert,Defender,0.652037037,5047,Leon Osman,Midfielder,0.645,8222,Leighton Baines,Defender,1,2180,Joseph Yobo,Defender,1,682,Phil Neville,Midfielder,1,6115,Tim Cahill,Midfielder,1,8137,Joleon Lescott,Defender,1,16696,J??,Forward,0.651666667,22738,Marouane Fellaini,Forward,1,3553,Steven Pienaar,Midfielder,1,110,Louis Saha,Midfielder,0.355,33833,Jack Rodwell,Forward,0.348333333,13846,Dan Gosling,Defender,0.347962963,8041,Manuel Almunia,Goalkeeper,1,19471,Bacary Sagna,Defender,1,10599,Alexandre Song,Midfielder,1,6042,Ga??l Clichy,Defender,1,1554,William Gallas,Defender,1,10209,Thomas Vermaelen,Defender,1,13819,Nicklas Bendtner,Forward,0.699444444,22649,Denilson,Midfielder,1,4599,Andrey Arshavin,Forward,1,4564,Robin van Persie,Forward,0.806851852,8040,Cesc F??bregas,Forward,0.804814815,8039,Emmanuel Ebou???,Forward,0.300555556,26820,Aaron Ramsey,Forward,0.195185185,7412,Eduardo da Silva,Forward,0.193148148
317789,161,Wolves,29,West Ham,21571,Wayne Hennessey,Goalkeeper,1,7579,Kevin Foley,Defender,0.83037037,15764,Stephen Ward,Defender,1,8379,Greg Halford,Midfielder,1,1532,Jody Craddock,Defender,1,8213,Karl Henry,Midfielder,1,15339,Nenad Milijas,Midfielder,0.888518519,13827,Michael Mancienne,Defender,0.736111111,12715,Sylvan Ebanks-Blake,Forward,1,7777,Andy Keogh,Forward,1,8217,Matthew Jarvis,Midfielder,1,11502,Richard Stearman,Defender,0.263888889,13938,Sam Vokes,Defender,0.16962963,8782,David Edwards,Midfielder,0.111481481,7890,Robert Green,Goalkeeper,1,10455,Julien Faubert,Defender,1,10452,H??rita Ilunga,Defender,0.719074074,270,Scott Parker,Midfielder,1,8148,James Collins,Defender,1,2299,Matt Upson,Defender,1,8247,Mark Noble,Midfielder,1,3839,Carlton Cole,Forward,1.026481481,33931,Jack Collison,Midfielder,1,10340,Luis Jim??nez,Forward,1,93,Kieron Dyer,Forward,0.808333333,9100,Jonathan Spector,Defender,0.280925926,69912,Junior Stanislas,Forward,0.191666667,78467,Frank Nouble,Forward,-0.026481481
317790,158,Blackburn,167,Man City,3874,Paul Robinson,Goalkeeper,1,2235,Lars Jacobsen,Defender,1,14710,Christopher Samba,Defender,1,1830,Ga??l Givet,Defender,1,7864,Stephen Warnock,Defender,1,1845,El Hadji Diouf,Midfielder,0.951666667,39935,Steven Nzonzi,Midfielder,1,6065,Keith Andrews,Midfielder,0.82962963,1158,Morten Gamst Pedersen,Midfielder,1,438,Jason Roberts,Forward,0.721666667,2279,Benni McCarthy,Forward,1,26734,Franco Di Santo,Forward,0.278333333,6028,Paul Gallagher,Midfielder,0.17037037,35460,David Junior Hoilett,Midfielder,0.048333333,1034,Shay Given,Goalkeeper,1,14168,Micah Richards,Defender,1,831,Richard Dunne,Defender,1,3817,Kolo Tour??,Defender,1,836,Wayne Bridge,Defender,1,2703,Shaun Wright-Phillips,Midfielder,1,14169,Stephen Ireland,Midfielder,1,188,Gareth Barry,Midfielder,1,14247,Robinho,Midfielder,0.762037037,6363,Emmanuel Adebayor,Forward,1,1982,Craig Bellamy,Forward,1,14167,Carlos Tevez,Midfielder,0.237962963,,,,0,,,,0
317791,92,Bolton,16,Sunderland,2366,Jussi J????skel??inen,Goalkeeper,1,7615,Sam Ricketts,Defender,1,7883,Paul Robinson,Defender,1,726,Gavin McCann,Midfielder,0.748888889,11981,Gary Cahill,Defender,1,2210,Sean Davis,Midfielder,1,3921,Zat Knight,Defender,1,21422,Fabrice Muamba,Midfielder,1,4893,Johan Elmander,Forward,0.918703704,233,Kevin Davies,Forward,1,5823,Matthew Taylor,Midfielder,1,42915,Chung-Yong Lee,Midfielder,0.251111111,78471,Danny Ward,Forward,0.081296296,,,,0,31212,Marton F??l??p,Goalkeeper,1,18181,Phil Bardsley,Defender,1,2113,Steed Malbranque,Midfielder,0.5,1908,George McCartney,Defender,1,8718,Danny Collins,Defender,1,10102,Lorik Cana,Midfielder,1,14268,Lee Cattermole,Midfielder,1,8243,Anton Ferdinand,Defender,1,12726,Kenwyne Jones,Forward,1,3116,Darren Bent,Forward,1,8058,Kieran Richardson,Midfielder,0.854444444,68659,Jordan Henderson,Midfielder,0.5,29299,Fraizer Campbell,Midfielder,0.145555556,,,,0
317792,169,Portsmouth,170,Fulham,3533,David James,Goalkeeper,1,14805,Younes Kaboul,Defender,1,22262,Nadir Belhadj,Defender,1,3460,John Utaka,Midfielder,0.95962963,23446,Marc Wilson,Defender,1,3269,Aaron Mokoena,Midfielder,1,7411,Niko Kranjcar,Midfielder,1,528,Sylvain Distin,Defender,1,3213,Papa Bouba Diop,Midfielder,0.845,4468,Fr??d??ric Piquionne,Forward,1,8244,Hayden Mullins,Midfielder,1,2819,Kanu,Midfielder,0.155,7616,David Nugent,Midfielder,0.04037037,,,,0,3852,Mark Schwarzer,Goalkeeper,1,10212,John Pantsil,Defender,1,5095,Zolt??n Gera,Midfielder,0.979814815,1103,Paul Konchesky,Defender,1,1742,Aaron Hughes,Defender,1,4731,Dickson Etuhu,Midfielder,1,3165,Brede Hangeland,Defender,1,76,Danny Murphy,Midfielder,1,5025,Bobby Zamora,Forward,0.888148148,16369,Clint Dempsey,Midfielder,1,4683,Andrew Johnson,Forward,1,1094,Erik Nevland,Forward,0.111851852,3204,Seol Ki-Hyeon,Midfielder,0.020185185,,,,0
317793,96,Stoke,184,Burnley,3184,Thomas S??rensen,Goalkeeper,1,12541,Andy Wilkinson,Defender,1,1209,Danny Higginbotham,Defender,1,8177,Liam Lawrence,Midfielder,1,29798,Ryan Shawcross,Defender,1,1079,Rory Delap,Midfielder,1,8966,Abdoulaye Faye,Defender,1,8176,Dean Whitehead,Midfielder,1,5587,Ricardo Fuller,Forward,0.971111111,15,James Beattie,Forward,0.742777778,332,Matthew Etherington,Midfielder,0.840185185,7558,Dave Kitson,Forward,0.257222222,8505,Glenn Whelan,Midfielder,0.159814815,26,Richard Cresswell,Forward,0.028888889,8136,Brian Jensen,Goalkeeper,1,4967,Tyrone Mears,Defender,1,1504,Christian Kalvenes,Defender,1,7768,Wade Elliott,Midfielder,1,8154,Clarke Carlisle,Defender,1,13840,Chris McCann,Midfielder,1,10507,Stephen Jordan,Defender,1,692,Graham Alexander,Midfielder,0.901481481,9766,Steven Fletcher,Forward,1,13791,Martin Paterson,Forward,0.793148148,828,Robbie Blake,Forward,0.796666667,77905,Fernando Guerrero,Forward,0.206851852,8941,Chris Eagles,Forward,0.203333333,5315,Steven Thompson,Midfielder,0.098518519
317794,15,Chelsea,214,Hull,6775,Petr Cech,Goalkeeper,1,10685,Jos?? Bosingwa,Defender,1,15464,John Obi Mikel,Midfielder,0.5,342,Ashley Cole,Defender,1,6666,Ricardo Carvalho,Defender,1,70,John Terry,Defender,1,527,Nicolas Anelka,Forward,0.876666667,1832,Michael Essien,Midfielder,1,1563,Florent Malouda,Midfielder,0.766296296,48,Frank Lampard,Forward,1,4384,Didier Drogba,Forward,1,255,Michael Ballack,Midfielder,0.5,2351,Deco,Midfielder,0.233703704,8028,Salomon Kalou,Forward,0.123333333,8462,Boaz Myhill,Goalkeeper,1,34221,Steven Mouyokolo,Defender,1,529,Bernard Mendy,Midfielder,0.861481481,8463,Andy Dawson,Defender,1,8597,Michael Turner,Defender,1,5566,Dean Marney,Midfielder,0.486296296,9623,Stephen Hunt,Midfielder,0.762037037,5188,Seyi Olofinjana,Midfielder,1,2812,Anthony Gardner,Defender,1,7570,Caleb Folan,Forward,1,121,George Boateng,Midfielder,1,197,Nick Barmby,Midfielder,0.513703704,31517,Kamel Ghilas,Midfielder,0.237962963,2224,Geovanni,Midfielder,0.138518519
317795,13,Arsenal,92,Bolton,8041,Manuel Almunia,Goalkeeper,1,19471,Bacary Sagna,Defender,1,6042,Ga??l Clichy,Defender,1,8040,Cesc F??bregas,Midfielder,1,1554,William Gallas,Defender,1,10209,Thomas Vermaelen,Defender,1,22649,Denilson,Midfielder,1,18214,Abou Diaby,Midfielder,0.845740741,4599,Andrey Arshavin,Forward,1,845,Tomas Rosicky,Forward,0.972962963,7412,Eduardo da Silva,Forward,1.017222222,82231,Craig Eastmond,Midfielder,0.154259259,25165,Carlos Vela,Forward,0.027037037,13796,Theo Walcott,Forward,-0.017222222,2366,Jussi J????skel??inen,Goalkeeper,1,7227,Gr??tar Steinsson,Defender,1,7883,Paul Robinson,Defender,1.035,42915,Chung-Yong Lee,Midfielder,0.892222222,11981,Gary Cahill,Defender,1,67922,Mark Davies,Midfielder,0.622222222,10218,Tamir Cohen,Midfielder,1,3921,Zat Knight,Defender,1,5823,Matthew Taylor,Midfielder,1,233,Kevin Davies,Forward,1,21422,Fabrice Muamba,Midfielder,1,726,Gavin McCann,Midfielder,0.377777778,2402,Ivan Klasnic,Midfielder,0.107777778,7615,Sam Ricketts,Defender,-0.035
317796,16,Sunderland,15,Chelsea,31212,Marton F??l??p,Goalkeeper,1,18181,Phil Bardsley,Defender,1,68659,Jordan Henderson,Midfielder,1,1908,George McCartney,Defender,1,8243,Anton Ferdinand,Defender,1,14268,Lee Cattermole,Midfielder,0.687037037,10102,Lorik Cana,Midfielder,1,8718,Danny Collins,Defender,1,3116,Darren Bent,Forward,1,12726,Kenwyne Jones,Forward,0.682592593,8058,Kieran Richardson,Midfielder,0.927777778,29299,Fraizer Campbell,Forward,0.317407407,12417,Grant Leadbitter,Midfielder,0.312962963,4677,Andy Reid,Midfielder,0.072222222,6775,Petr Cech,Goalkeeper,1,10685,Jos?? Bosingwa,Defender,1,1832,Michael Essien,Midfielder,1,342,Ashley Cole,Defender,1,15338,Branislav Ivanovic,Defender,1,70,John Terry,Defender,1,255,Michael Ballack,Midfielder,1,4384,Didier Drogba,Forward,0.928703704,48,Frank Lampard,Midfielder,1,2351,Deco,Forward,0.957962963,8028,Salomon Kalou,Forward,0.83962963,1563,Florent Malouda,Forward,0.16037037,23736,Daniel Sturridge,Forward,0.071296296,179,Andriy Shevchenko,Forward,0.042037037
317797,29,West Ham,24,Aston Villa,7890,Robert Green,Goalkeeper,1,10455,Julien Faubert,Defender,1,10452,H??rita Ilunga,Defender,0.085555556,12462,Valon Behrami,Midfielder,1,19864,Manuel da Costa,Defender,1,8247,Mark Noble,Midfielder,1,270,Scott Parker,Midfielder,1,2299,Matt Upson,Defender,1,3839,Carlton Cole,Forward,0.348703704,14228,Guillermo Franco,Forward,0.981666667,33931,Jack Collison,Midfielder,1,9100,Jonathan Spector,Defender,0.914444444,38672,Zavon Hines,Forward,0.651296296,10340,Luis Jim??nez,Forward,0.018333333,3426,Brad Friedel,Goalkeeper,1,1797,Habib Beye,Defender,1,7864,Stephen Warnock,Defender,1,8166,Ashley Young,Midfielder,1,8148,James Collins,Defender,1,5554,Steve Sidwell,Midfielder,1,2216,Stiliyan Petrov,Midfielder,1,831,Richard Dunne,Defender,1,2928,John Carew,Forward,0.959814815,14036,Gabriel Agbonlahor,Forward,1,4,Emile Heskey,Midfielder,0.5,5987,Nigel Reo-Coker,Midfielder,0.5,1207,Luke Young,Forward,0.040185185,,,,0
317798,170,Fulham,158,Blackburn,3852,Mark Schwarzer,Goalkeeper,1,10212,John Pantsil,Defender,1,16369,Clint Dempsey,Midfielder,1,1103,Paul Konchesky,Defender,1,1742,Aaron Hughes,Defender,1,827,Jonathan Greening,Midfielder,0.896296296,3165,Brede Hangeland,Defender,1,5231,Chris Baird,Midfielder,1,1094,Erik Nevland,Forward,1,824,Damien Duff,Midfielder,0.939444444,5025,Bobby Zamora,Forward,0.647592593,5095,Zolt??n Gera,Forward,0.352407407,4731,Dickson Etuhu,Midfielder,0.103703704,561,Simon Davies,Midfielder,0.060555556,3874,Paul Robinson,Goalkeeper,1,2235,Lars Jacobsen,Defender,1,4529,Pascal Chimbonda,Defender,1,6065,Keith Andrews,Midfielder,1,14710,Christopher Samba,Defender,1,4476,Vince Grella,Midfielder,1,13311,Ryan Nelsen,Defender,1,407,David Dunn,Midfielder,1,26734,Franco Di Santo,Forward,0.725,438,Jason Roberts,Forward,0.723888889,1845,El Hadji Diouf,Midfielder,1,2279,Benni McCarthy,Forward,0.276111111,25091,Nikola Kalinic,Forward,0.275,,,,0
317799,157,Birmingham,169,Portsmouth,8786,Joe Hart,Goalkeeper,1,1354,Stephen Carr,Defender,1,4519,Gr??gory Vignal,Defender,0.537962963,11235,Sebastian Larsson,Midfielder,1,8680,Roger Johnson,Defender,1,4737,Barry Ferguson,Midfielder,1,1344,Franck Queudrue,Defender,1,29086,Keith Fahey,Midfielder,1,10737,Cameron Jerome,Forward,0.597222222,4762,James McFadden,Midfielder,1,5604,Garry O'Connor,Forward,0.898518519,4299,Stuart Parnaby,Defender,0.462037037,6,Kevin Phillips,Forward,0.402777778,20986,Christian Benitez,Forward,0.101481481,3533,David James,Goalkeeper,1,23446,Marc Wilson,Defender,1,22262,Nadir Belhadj,Defender,1,10138,Anthony Vanden Borre,Midfielder,0.5,14805,Younes Kaboul,Defender,1,8244,Hayden Mullins,Midfielder,1,7411,Niko Kranjcar,Midfielder,1,528,Sylvain Distin,Defender,1,3213,Papa Bouba Diop,Midfielder,0.469259259,4468,Fr??d??ric Piquionne,Forward,0.881481481,3269,Aaron Mokoena,Midfielder,1,2860,Angelos Basinas,Midfielder,0.530740741,3460,John Utaka,Midfielder,0.5,2819,Kanu,Forward,0.118518519
