h_roster_rating, h_gk_rating, h_def_rating, h_mid_rating, h_off_rating, a_roster_rating, a_gk_rating, a_def_rating, a_mid_rating, a_off_rating, label
7.164285714285713, 6.72, 6.96721851854, 7.34375, 7.572366666685, 6.819285714285714, 6.89, 7.0200000000000005, 6.819851111075998, 7.017222222000001, 1
7.085, 7.21, 7.182500000000001, 7.2890046296875, 6.992064658392844, 7.067857142857143, 6.9, 7.144336574082501, 7.0523671296125, 7.585, 1
6.902857142857143, 6.91, 7.172811111100001, 7.06155925926, 6.76984259262, 6.693571428571429, 6.51, 6.92, 6.759387036969999, 6.942855051156244, -1
6.847142857142857, 6.73, 6.648471759257499, 7.095, 6.965958333275, 7.252857142857144, 6.65, 7.2425, 7.375, 7.5140027778925, -1
6.600714285714285, 6.55, 6.7631393517975, 6.6291472222475, 6.525, 6.857142857142857, 6.6, 7.08983240741, 7.103333333333334, 6.728232882668019, -1
6.679285714285713, 6.65, 6.8325, 6.846247222305, 6.540825000005, 7.136666666666666, 6.68, 7.23, 7.0279467592675, 7.285, -1
6.806153846153847, 6.82, 6.975, 6.7201111111, 6.9607333334399994, 6.876923076923077, 6.46, 6.797499999999999, 6.904177777760001, 7.285, -1
6.64923076923077, 6.61, 6.96, 6.52486333336, 6.79, 6.8476923076923075, 6.93, 6.9575, 6.999976851875, 6.638155555519999, -1
6.762857142857144, 6.94, 6.955, 6.811210185175001, 6.59790833327, 6.625000000000001, 6.62, 6.765000000000001, 6.62921234561, 6.64636913576, 1
7.40142857142857, 6.87, 7.3025, 7.424419753066666, 7.925011111196665, 6.667857142857143, 6.62, 6.8475, 6.625054074052, 6.62, 1
7.115714285714285, 6.65, 7.2425, 7.704998765513333, 6.950110476914021, 6.87, 6.82, 7.014659231722429, 6.806966666663999, 7.26, 1
6.863571428571428, 6.46, 6.7975, 6.84306018515, 7.181842592725001, 7.26357142857143, 6.87, 7.380000000000001, 7.563333333333333, 7.503472222333335, -1
6.900714285714286, 6.6, 6.96950555554, 7.075000000000001, 6.7535055556299985, 6.949999999999999, 6.91, 7.0725, 6.8975, 6.9645981481499994, 1
6.909999999999999, 6.93, 6.9575, 7.01418101847, 6.75533148151, 6.74, 6.65, 7.0125, 6.7749999999999995, 6.459572222215, 1
6.8635714285714275, 6.89, 7.02, 6.9025, 6.690970370210001, 6.682142857142858, 6.61, 6.96, 6.545200740733999, 6.73666666645, 1
6.627857142857144, 6.62, 6.775, 6.689502777795, 6.56074999999, 7.144285714285714, 7.267542592590001, 6.99, 7.3107125, 6.956491666694999, -1
6.650714285714286, 6.62, 6.852500000000001, 6.59057870375, 6.715005555584999, 7.112857142857142, 6.72, 7.1202291666675, 7.094775000035, 7.313133333205, 1
6.743846153846154, 6.51, 6.92, 6.762092222228, 6.95, 6.579285714285715, 6.55, 6.780000000000001, 6.575133703702001, 6.604555555279999, -1
7.077857142857142, 6.9, 7.1175, 7.144233333344999, 7.496799073725, 6.723571428571428, 6.94, 6.955, 6.675458518508, 6.540237037030001, 1
7.079285714285715, 6.68, 7.173386111109999, 7.195, 7.161565277829999, 7.141538461538461, 6.73, 7.1675, 7.344291399484034, 6.95746666684, -1
7.235714285714287, 6.65, 7.255, 7.4025, 7.42334259265, 6.664999999999999, 6.642194444359999, 6.961169444445, 6.562, 6.295705555480001, 1
7.092307692307693, 6.9, 7.15, 7.0689481481125, 7.585, 7.015833333333332, 6.91, 7.18, 6.973599629594, 6.94, -1
6.8742857142857146, 6.46, 6.8150583333100005, 6.9455018518800005, 7.275172413793105, 6.783571428571428, 6.65, 6.983750000000001, 6.8716282407275, 6.392498148145, 1
