match_id,h_id,h_name,a_id,a_name,h_p1_id,h_p1_name,h_p1_pos,h_p1_t,h_p2_id,h_p2_name,h_p2_pos,h_p2_t,h_p3_id,h_p3_name,h_p3_pos,h_p3_t,h_p4_id,h_p4_name,h_p4_pos,h_p4_t,h_p5_id,h_p5_name,h_p5_pos,h_p5_t,h_p6_id,h_p6_name,h_p6_pos,h_p6_t,h_p7_id,h_p7_name,h_p7_pos,h_p7_t,h_p8_id,h_p8_name,h_p8_pos,h_p8_t,h_p9_id,h_p9_name,h_p9_pos,h_p9_t,h_p10_id,h_p10_name,h_p10_pos,h_p10_t,h_p11_id,h_p11_name,h_p11_pos,h_p11_t,h_p12_id,h_p12_name,h_p12_pos,h_p12_t,h_p13_id,h_p13_name,h_p13_pos,h_p13_t,h_p14_id,h_p14_name,h_p14_pos,h_p14_t,a_p1_id,a_p1_name,a_p1_pos,a_p1_t,a_p2_id,a_p2_name,a_p2_pos,a_p2_t,a_p3_id,a_p3_name,a_p3_pos,a_p3_t,a_p4_id,a_p4_name,a_p4_pos,a_p4_t,a_p5_id,a_p5_name,a_p5_pos,a_p5_t,a_p6_id,a_p6_name,a_p6_pos,a_p6_t,a_p7_id,a_p7_name,a_p7_pos,a_p7_t,a_p8_id,a_p8_name,a_p8_pos,a_p8_t,a_p9_id,a_p9_name,a_p9_pos,a_p9_t,a_p10_id,a_p10_name,a_p10_pos,a_p10_t,a_p11_id,a_p11_name,a_p11_pos,a_p11_t,a_p12_id,a_p12_name,a_p12_pos,a_p12_t,a_p13_id,a_p13_name,a_p13_pos,a_p13_t,a_p14_id,a_p14_name,a_p14_pos,a_p14_t
614051,13,Arsenal,16,Sunderland,73379,Wojciech Szczesny,Goalkeeper,1.0,91879,Carl Jenkinson,Defender,1.0,10209,Thomas Vermaelen,Defender,1.0,6292,Per Mertesacker,Defender,1.0,27550,Kieran Gibbs,Defender,1.0,18214,Abou Diaby,Midfielder,0.7681481481481482,1443,Mikel Arteta,Midfielder,1.0,13796,Theo Walcott,Forward,0.8585185185185185,4522,Santi Cazorla,Forward,1.0,17740,Gervinho,Forward,1.0,6040,Lukas Podolski,Forward,0.711666666666666,24444,Olivier Giroud,Forward,0.28833333333333333,26820,Aaron Ramsey,Midfielder,0.23185185185185175,4599,Andrey Arshavin,Forward,0.14148148148148154,52197,Simon Mignolet,Goalkeeper,1.0,14038,Craig Gardner,Defender,1.0,3841,John O'Shea,Defender,1.0,9432,Carlos Cuellar,Defender,1.0,8058,Kieran Richardson,Defender,1.0,29299,Fraizer Campbell,Midfielder,0.7681481481481482,11235,Sebastian Larsson,Midfielder,0.8811111111111111,69867,Jack Colback,Midfielder,1.0,14268,Lee Cattermole,Midfielder,1.0,76050,James McClean,Midfielder,1.0,14061,Stéphane Sessegnon,Forward,0.7116666666666667,110,Louis Saha,Forward,0.28833333333333333,34876,Ahmed El Mohamady,Midfielder,0.23185185185185175,41589,David Meyler,Midfielder,0.11888888888888893
614052,31,Everton,32,Man Utd,5582,Tim Howard,Goalkeeper,1.0,3030,Tony Hibbert,Defender,1.0,528,Sylvain Distin,Defender,1.0,6105,Phil Jagielka,Defender,1.0,8222,Leighton Baines,Defender,1.0,5047,Leon Osman,Midfielder,0.903703703703703,30395,Darron Gibson,Midfielder,1.0,682,Phil Neville,Midfielder,1.0,3553,Steven Pienaar,Midfielder,1.0,22738,Marouane Fellaini,Forward,1.027962962962963,19969,Nikica Jelavic,Forward,1.0053703703703705,31826,Séamus Coleman,Midfielder,0.09629629629629632,9314,Steven Naismith,Forward,-0.00537037037037047,6023,John Heitinga,Forward,-0.027962962962962967,79554,David de Gea,Goalkeeper,1.0,18296,Luis Antonio Valencia,Defender,1.0,9685,Nemanja Vidic,Defender,1.0,2115,Michael Carrick,Defender,1.0,6410,Patrice Evra,Defender,1.0,11,Paul Scholes,Midfielder,1.0,69956,Tom Cleverley,Midfielder,0.948888888888889,19104,Nani,Forward,0.8698148148148148,42862,Shinji Kagawa,Forward,1.0,39308,Danny Welbeck,Forward,0.7568518518518518,3859,Wayne Rooney,Forward,1.0,4564,Robin van Persie,Forward,0.24314814814814822,8166,Ashley Young,Forward,0.13018518518518518,21723,Anderson,Midfielder,0.051111111111110996
614053,170,Fulham,168,Norwich,3852,Mark Schwarzer,Goalkeeper,1.0,5498,Sascha Riether,Defender,1.0,3165,Brede Hangeland,Defender,1.0,1742,Aaron Hughes,Defender,1.0,1045,John Arne Riise,Defender,1.0,824,Damien Duff,Midfielder,0.8246296296296296,12187,Mousa Dembélé,Midfielder,1.0,4026,Mahamadou Diarra,Midfielder,1.0,106518,Alexander Kacaniklic,Midfielder,1.0,14051,Bryan Ruiz,Forward,0.9037037037037037,10014,Mladen Petric,Forward,0.7455555555555555,25011,Hugo Rodallega,Forward,0.2544444444444445,84645,Pajtim Kasami,Midfielder,0.1753703703703704,5554,Steve Sidwell,Forward,0.09629629629629632,8643,John Ruddy,Goalkeeper,1.0,8684,Russell Martin,Defender,1.0,8597,Michael Turner,Defender,1.0,25834,Ryan Bennett,Defender,1.0,8477,Marc Tierney,Defender,1.0,9767,Robert Snodgrass,Midfielder,0.61,23273,Jonny Howson,Midfielder,1.0,12490,Bradley Johnson,Midfielder,1.0,23348,Anthony Pilkington,Midfielder,1.0,13447,Andrew Surman,Forward,0.5083333333333333,8695,Grant Holt,Forward,0.8585185185185185,8802,Steve Morison,Forward,0.4916666666666667,30255,Elliott Bennett,Midfielder,0.39,19541,Wes Hoolahan,Forward,0.14148148148148154
614054,167,Man City,18,Southampton,8786,Joe Hart,Goalkeeper,1.0,14244,Pablo Zabaleta,Defender,1.0,10136,Vincent Kompany,Defender,1.0,8137,Joleon Lescott,Defender,1.0,6042,Gaël Clichy,Defender,1.0,14102,David Silva,Midfielder,0.8020370370370371,33833,Jack Rodwell,Midfielder,1.0,14053,Yaya Touré,Midfielder,1.0,13298,Samir Nasri,Midfielder,1.0,14167,Carlos Tevez,Forward,0.9714814814814815,14260,Sergio Agüero,Forward,0.1468518518518,24845,Edin Dzeko,Forward,0.8531481481481482,33799,Mario Balotelli,Midfielder,0.1979629629629629,12267,Aleksandar Kolarov,Forward,0.0285185185185185,8140,Kelvin Davis,Goalkeeper,1.0,69375,Nathaniel Clyne,Defender,1.0,28725,Jos Hooiveld,Defender,1.0,19859,José Fonte,Defender,1.0,11499,Daniel Fox,Defender,1.0,29544,Morgan Schneiderlin,Midfielder,1.0,9156,Jason Puncheon,Forward,0.9601851851851853,21683,Adam Lallana,Forward,1.0,105172,James Ward-Prowse,Forward,0.7229629629629629,33891,Jay Rodriguez,Forward,0.61,5696,Guly do Prado,Forward,1.0,8409,Rickie Lambert,Forward,0.39,9734,Steven Davis,Forward,0.2770370370370371,13399,Billy Sharp,Forward,0.03981481481481475
614055,23,Newcastle,30,Tottenham,22319,Tim Krul,Goalkeeper,1.0,23683,Danny Simpson,Defender,1.0,6479,Steven Taylor,Defender,1.0,9563,James Perch,Defender,1.0,44642,Davide Santon,Defender,1.0,10194,Hatem Ben Arfa,Midfielder,1.0,12376,Yohan Cabaye,Midfielder,0.7907407407407407,19396,Cheick Tioté,Midfielder,1.0,14075,Jonás Gutiérrez,Midfielder,1.0,21457,Demba Ba,Forward,0.948888888888889,24223,Papiss Demba Cissé,Forward,1.0,63885,Vurnon Anita,Midfielder,0.20925925925925926,22818,Gabriel Obertan,Forward,0.051111111111110996,,,,0.0,3426,Brad Friedel,Goalkeeper,1.0,69778,Kyle Walker,Defender,1.0,14805,Younes Kaboul,Defender,1.0,1554,William Gallas,Defender,1.0,11580,Benoit Assou-Ekotto,Defender,1.0,68890,Sandro,Midfielder,0.9601851851851853,36849,Jake Livermore,Midfielder,1.0,5625,Aaron Lennon,Forward,1.0,69346,Gylfi Sigurdsson,Forward,0.7568518518518518,13812,Gareth Bale,Forward,1.0,2837,Jermain Defoe,Forward,1.0,4343,Rafael van der Vaart,Forward,0.24314814814814822,83532,Harry Kane,Midfielder,0.03981481481481475,,,,0.0
614056,171,QPR,259,Swansea,7890,Robert Green,Goalkeeper,1.0,11669,Nedum Onuoha,Defender,1.0,8211,Clint Hill,Defender,0.7116666666666667,8243,Anton Ferdinand,Defender,1.0,44031,Fabio,Defender,1.0,83272,Samba Diakité,Midfielder,0.9601851851851853,3203,Park Ji-Sung,Midfielder,1.0,9500,Jamie Mackie,Forward,1.0,24642,Adel Taarabt,Forward,1.0,35460,David Junior Hoilett,Forward,1.0,1040,Djibril Cissé,Forward,0.8698148148148148,2703,Shaun Wright-Phillips,Defender,0.28833333333333333,4683,Andrew Johnson,Forward,0.13018518518518518,5837,Shaun Derry,Midfielder,0.03981481481481475,19270,Michel Vorm,Goalkeeper,1.0,29820,Angel Rangel,Defender,1.0,36614,Chico Flores,Defender,1.0,8408,Ashley Williams,Defender,1.0,31558,Neil Taylor,Defender,1.0,19087,Jonathan de Guzmán,Midfielder,0.7794444444444445,38236,Michu,Midfielder,0.9375925925925926,8730,Leon Britton,Midfielder,1.0,13814,Nathan Dyer,Forward,0.8585185185185185,10816,Danny Graham,Forward,1.0,4759,Wayne Routledge,Forward,1.0,14814,Kemy Agustien,Midfielder,0.2205555555555555,12779,Scott Sinclair,Forward,0.14148148148148154,8636,Mark Gower,Midfielder,0.062407407407407356
614057,94,Reading,96,Stoke,13797,Adam Federici,Goalkeeper,1.0,13835,Chris Gunter,Defender,1.0,23682,Alex Pearce,Defender,1.0,7125,Kaspars Gorkss,Defender,1.0,190,Ian Harte,Defender,1.0,5767,Jobi McAnuff,Midfielder,1.0,5656,Mikele Leigertwood,Midfielder,1.0,23168,Danny Guthrie,Midfielder,1.0,35371,Hal Robson-Kanu,Midfielder,0.7455555555555555,7182,Pavel Pogrebnyak,Forward,0.8585185185185185,9776,Adam Le Fondre,Forward,1.0,37049,Garath McCleary,Midfielder,0.2544444444444445,4859,Noel Hunt,Forward,0.14148148148148154,,,,0.0,23122,Asmir Begovic,Goalkeeper,1.0,12541,Andy Wilkinson,Defender,1.0,4145,Robert Huth,Defender,1.0,29798,Ryan Shawcross,Defender,1.0,23446,Marc Wilson,Defender,1.0,9794,Michael Kightly,Midfielder,0.835925925925926,8505,Glenn Whelan,Midfielder,0.948888888888889,8176,Dean Whitehead,Midfielder,1.0,332,Matthew Etherington,Midfielder,0.8924074074074073,3860,Jonathan Walters,Forward,1.0,3807,Peter Crouch,Forward,1.0,10737,Cameron Jerome,Midfielder,0.16407407407407404,1079,Rory Delap,Midfielder,0.10759259259259268,31549,Wilson Palacios,Midfielder,0.051111111111110996
614058,175,West Brom,26,Liverpool,11530,Ben Foster,Goalkeeper,1.0,3217,Steven Reid,Defender,1.0,6695,Jonas Olsson,Defender,1.0,8773,Gareth McAuley,Defender,1.0,6403,Liam Ridgewell,Defender,1.0,35691,Claudio Yacob,Midfielder,1.0,25642,Youssouf Mulumbu,Midfielder,1.0,5095,Zoltán Gera,Forward,0.7681481481481482,10498,James Morrison,Forward,0.9037037037037037,7719,Peter Odemwingie,Forward,1.0,13798,Shane Long,Forward,0.75685185185185,78498,Romelu Lukaku,Forward,0.24314814814814822,18456,Marc-Antoine Fortuné,Forward,0.23185185185185175,8507,Chris Brunt,Forward,0.09629629629629632,2987,Pepe Reina,Goalkeeper,1.0,44687,Martin Kelly,Defender,1.0,7398,Daniel Agger,Defender,1.0,19840,Martin Skrtel,Defender,1.0,4574,Glen Johnson,Defender,1.0,31451,Lucas Leiva,Midfielder,0.7681481481481482,23444,Joe Allen,Midfielder,1.0,5641,Stewart Downing,Forward,0.6664814814814,17,Steven Gerrard,Forward,1.0,80882,Fabio Borini,Forward,1.0,22221,Luis Suárez,Forward,1.0,1329,Jamie Carragher,Forward,0.33351851851851855,487,Joe Cole,Midfielder,0.8698148148148148,23383,Andy Carroll,Midfielder,0.13018518518518518
614059,29,West Ham,24,Aston Villa,2366,Jussi Jääskeläinen,Goalkeeper,1.0,4408,Guy Demel,Defender,1.0,19277,Winston Reid,Defender,1.0,8148,James Collins,Defender,1.0,1908,George McCartney,Defender,0.7907407407407407,27188,Mohamed Diamé,Midfielder,1.0,1815,Kevin Nolan,Midfielder,0.8133333333333334,8247,Mark Noble,Midfielder,1.0,11980,Ricardo Vaz Tê,Forward,1.0,3839,Carlton Cole,Forward,0.9037037037037037,5823,Matthew Taylor,Forward,1.0,12533,Joey O'Brien,Defender,0.20925925925925926,33930,James Tomkins,Midfielder,0.18666666666666665,28969,Modibo Maiga,Forward,0.09629629629629632,1034,Shay Given,Goalkeeper,1.0,80067,Matthew Lowton,Defender,1.0,70099,Ciaran Clark,Defender,1.0,14107,Ron Vlaar,Defender,1.0,42148,Nathan Baker,Defender,1.0,12021,Karim El Ahmadi,Midfielder,1.0,27213,Fabian Delph,Midfielder,0.8585185185185185,9743,Charles N'Zogbia,Forward,0.8246296296296296,14169,Stephen Ireland,Forward,1.0,5098,Brett Holman,Forward,0.68907407407407,3116,Darren Bent,Forward,1.0,80719,Andreas Weimann,Forward,0.31092592592592594,106495,Gary Gardner,Forward,0.1753703703703704,70100,Barry Bannan,Midfielder,0.14148148148148154
614060,194,Wigan,15,Chelsea,5347,Ali Al Habsi,Goalkeeper,1.0,515,Emmerson Boyce,Defender,1.0,9474,Antolín Alcaraz,Defender,1.0,10058,Iván Ramis,Defender,1.0,5048,Gary Caldwell,Defender,1.0,38671,Maynor Figueroa,Defender,1.0,33064,Victor Moses,Midfielder,1.0,31281,James McCarthy,Midfielder,1.0,20339,James McArthur,Midfielder,0.8924074074074073,4616,Shaun Maloney,Midfielder,0.5422222222222,26734,Franco Di Santo,Forward,0.7455555555555555,19674,Jordi Gómez,Midfielder,0.45777777777777784,8943,Arouna Koné,Forward,0.2544444444444445,10254,Ben Watson,Midfielder,0.10759259259259268,6775,Petr Cech,Goalkeeper,1.0,15338,Branislav Ivanovic,Defender,1.0,27586,David Luiz,Defender,1.0,70,John Terry,Defender,1.0,342,Ashley Cole,Defender,1.0,15464,John Obi Mikel,Midfielder,1.0,48,Frank Lampard,Midfielder,1.0,25363,Juan Mata,Forward,0.9262962962962962,33404,Eden Hazard,Forward,0.7116666666666667,22846,Ryan Bertrand,Forward,1.0,4056,Fernando Torres,Forward,1.0,41065,Oscar,Forward,0.28833333333333333,10111,Raul Meireles,Forward,0.07370370370370383,,,,0.0
