match_id, home_goals, away_goals
317783,1,0
317786,2,1
317787,0,2
317788,1,6
317789,0,2
317790,0,2
317791,0,1
317792,0,1
317793,2,0
317794,2,1
317795,4,2
317796,1,3
317797,2,1
317798,3,0
317799,1,0
317800,1,5
317801,1,0
317802,0,1
317803,4,0
317804,0,2
317805,4,1
317806,1,3
317807,2,1
317808,1,2
317809,1,0
317810,0,2
317811,0,0
317812,1,0
317813,1,0
317814,0,5
317815,2,1
317816,2,1
317817,2,0
317818,2,1
317819,1,1
317820,0,0
317821,2,3
317822,0,1
317823,1,0
317824,3,0
317825,4,0
317826,4,1
317827,1,3
317828,4,2
317829,3,1
317830,2,1
317831,0,1
317832,2,3
317833,1,2
317834,1,0
317835,4,3
317836,4,0
317837,2,3
317838,2,0
317839,3,0
317840,2,1
317841,1,1
317842,0,1
317843,3,1
317844,3,0
317845,6,1
317882,5,0
317883,3,1
317884,5,2
317885,0,2
317886,0,1
317887,3,1
317888,0,1
317889,2,1
317890,1,2
317891,2,2
317892,0,1
317893,2,2
317894,1,1
317895,2,0
317896,2,1
317897,2,2
317898,2,1
317899,1,1
317900,6,2
317901,2,1
317902,2,1
317903,2,0
317904,1,1
317905,3,2
317906,2,1
317907,1,0
317908,1,1
317909,1,2
317910,3,1
317911,1,3
317912,5,0
317913,3,2
317914,2,1
317915,0,1
317916,2,2
317917,1,1
317918,0,0
317919,2,0
317920,2,2
317921,4,0
317922,2,0
317923,3,1
317924,1,1
317925,2,0
317926,0,4
317927,0,0
317928,3,0
317929,2,2
317930,2,2
317931,1,1
317932,2,1
317933,1,4
317934,1,2
317935,2,0
317936,3,3
317937,2,2
317938,5,1
317939,3,1
317940,1,0
317941,1,0
317942,1,0
318003,1,0
318004,1,1
318005,4,0
318006,3,3
318007,2,2
318008,3,0
318009,9,1
318010,0,2
318011,1,4
318012,5,3
318013,0,1
318014,1,1
318015,1,1
318016,0,2
318017,0,0
318018,1,1
318019,0,3
318020,1,0
318021,2,0
318022,0,4
318023,2,3
318024,2,1
318025,2,1
318026,1,0
318027,2,2
318028,0,0
318029,3,0
318030,2,0
318031,0,1
318032,2,2
318033,1,1
318034,0,1
318035,1,2
318036,0,0
318037,3,3
318038,1,1
318039,3,3
318040,1,0
318041,3,0
318042,0,2
318043,3,2
318044,3,0
318045,3,2
318046,1,1
318047,3,1
318048,2,1
318049,2,1
318050,2,1
318051,3,0
318052,2,0
318053,0,0
318054,1,1
318055,2,0
318056,4,3
318057,3,0
318058,1,1
318059,0,2
318060,1,0
318061,1,1
318062,2,0
318063,1,1
318071,2,0
318132,2,0
318133,1,3
318134,0,0
318135,1,1
318136,0,0
318137,3,0
318138,0,3
318139,2,0
318140,0,1
318141,1,4
318142,2,0
318143,2,1
318144,2,2
318145,2,2
318146,0,1
318147,5,0
318148,1,2
318149,1,3
318150,4,1
318151,2,0
318152,1,1
318153,1,0
318154,1,1
318155,4,0
318156,1,1
318157,2,2
318158,1,2
318159,1,1
318160,0,0
318161,0,2
318162,3,0
318163,2,0
318164,7,2
318165,0,2
318166,2,0
318167,0,0
318168, 0 ,  0
318169, 2 ,  0
318170, 1 ,  1
318171, 1 ,  1
318172, 4 ,  0
318173, 1 ,  0
318174, 2 ,  0
318175, 3 ,  0
318176, 2 ,  1
318177, 0 ,  0
318178, 0 ,  0
318179, 0 ,  1
318180, 0 ,  0
318181, 2 ,  0
318182, 2 ,  0
318183, 2 ,  2
318184, 0 ,  2
318185, 1 ,  2
318186, 1 ,  3
318187, 1 ,  1
318188, 5 ,  0
318189, 3 ,  0
318190, 1 ,  1
318191, 0 ,  0
318231, 2 ,  1
318274, 2 ,  0
318275, 0 ,  0
318277, 2 ,  1
318278, 1 ,  0
