match_id, home_goals, away_goals
1284741, 0 ,  2
1284742, 2 ,  0
1284743, 0 ,  2
1284744, 0 ,  3
1284745, 4 ,  0
1284746, 2 ,  1
1284747, 1 ,  2
1284748, 0 ,  0
1284749, 2 ,  0
1284750, 2 ,  2
1284751, 3 ,  2
1284752, 1 ,  3
1284753, 0 ,  0
1284754, 3 ,  2
1284755, 0 ,  2
1284756, 2 ,  1
1284757, 2 ,  0
1284758, 6 ,  1
1284759, 3 ,  1
1284760, 1 ,  2
1284761, 3 ,  1
1284762, 2 ,  2
1284763, 4 ,  2
1284764, 0 ,  0
1284765, 1 ,  0
1284766, 0 ,  3
1284767, 1 ,  2
1284768, 1 ,  2
1284769, 2 ,  1
1284770, 1 ,  1
1284771, 2 ,  2
1284772, 0 ,  2
1284773, 2 ,  3
1284774, 2 ,  0
1284775, 0 ,  2
1284776, 1 ,  1
1284777, 1 ,  2
1284778, 2 ,  1
1284779, 2 ,  1
1284780, 0 ,  1
1284781, 4 ,  2
1284782, 4 ,  1
1284783, 1 ,  3
1284784, 0 ,  1
1284785, 3 ,  0
1284786, 1 ,  2
1284787, 2 ,  2
1284788, 1 ,  2
1284789, 1 ,  2
1284790, 1 ,  0
1284791, 2 ,  0
1284792, 1 ,  2
1284793, 4 ,  0
1284794, 0 ,  5
1284795, 0 ,  0
1284796, 1 ,  1
1284797, 3 ,  1
1284799, 1 ,  1
1284800, 0 ,  0
1284801, 2 ,  0
1284802, 2 ,  1
1284803, 1 ,  2
1284804, 1 ,  1
1284805, 3 ,  0
1284806, 0 ,  2
1284807, 2 ,  0
1284808, 0 ,  2
1284809, 3 ,  1
1284810, 2 ,  0
1284811, 1 ,  0
1284812, 1 ,  1
1284813, 0 ,  1
1284814, 1 ,  5
1284815, 1 ,  2
1284816, 0 ,  0
1284817, 3 ,  2
1284818, 0 ,  3
1284820, 0 ,  4
1284821, 3 ,  1
1284822, 0 ,  0
1284823, 4 ,  2
1284824, 2 ,  2
1284825, 2 ,  0
1284826, 0 ,  1
1284827, 2 ,  1
1284828, 0 ,  0
1284829, 0 ,  1
1284830, 3 ,  0
1284831, 1 ,  1
1284832, 1 ,  2
1284833, 0 ,  1
1284834, 5 ,  0
1284835, 3 ,  1
1284836, 0 ,  1
1284837, 3 ,  1
1284838, 0 ,  1
1284840, 0 ,  2
1284841, 6 ,  1
1284842, 1 ,  0
1284843, 1 ,  0
1284844, 0 ,  4
1284845, 4 ,  2
1284846, 2 ,  2
1284847, 2 ,  3
1284848, 0 ,  3
1284849, 1 ,  1
1284850, 1 ,  1
1284851, 1 ,  3
1284852, 2 ,  1
1284853, 4 ,  1
1284854, 1 ,  1
1284855, 0 ,  1
1284856, 1 ,  2
1284857, 1 ,  2
1284858, 2 ,  0
1284859, 3 ,  0
1284860, 3 ,  1
1284861, 1 ,  2
1284862, 6 ,  0
1284863, 2 ,  1
1284864, 2 ,  0
1284865, 1 ,  2
1284866, 2 ,  2
1284867, 0 ,  2
1284868, 3 ,  1
1284869, 1 ,  1
1284870, 2 ,  0
1284871, 1 ,  0
1284872, 3 ,  1
1284873, 2 ,  1
1284874, 1 ,  1
1284875, 1 ,  0
1284876, 2 ,  1
1284878, 0 ,  4
1284879, 0 ,  2
1284880, 1 ,  1
1284881, 1 ,  0
1284882, 1 ,  3
1284883, 2 ,  1
1284884, 1 ,  0
1284885, 2 ,  0
1284886, 1 ,  5
1284887, 2 ,  0
1284888, 1 ,  0
1284889, 3 ,  0
1284890, 2 ,  2
1284891, 1 ,  4
1284892, 0 ,  2
1284893, 0 ,  2
1284895, 1 ,  4
1284896, 4 ,  1
1284897, 0 ,  1
1284898, 0 ,  0
1284899, 1 ,  2
1284900, 1 ,  3
1284901, 2 ,  0
1284902, 3 ,  2
1284903, 1 ,  0
1284904, 3 ,  1
1284905, 1 ,  2
1284906, 4 ,  1
1284907, 5 ,  1
1284908, 0 ,  0
1284909, 1 ,  0
1284910, 2 ,  1
1284911, 0 ,  3
1284912, 0 ,  1
1284913, 0 ,  2
1284914, 0 ,  5
1284915, 1 ,  0
1284916, 1 ,  1
1284917, 0 ,  1
1284918, 2 ,  0
1284919, 2 ,  1
1284920, 0 ,  0
1284921, 3 ,  1
1284922, 1 ,  3
1284923, 1 ,  3
1284924, 2 ,  0
1284925, 3 ,  1
1284926, 2 ,  0
1284927, 2 ,  0
1284928, 3 ,  1
1284929, 3 ,  2
1284930, 0 ,  1
1284931, 2 ,  0
1284932, 2 ,  1
1284933, 1 ,  0
1284934, 2 ,  0
1284935, 2 ,  0
1284936, 1 ,  1
1284937, 3 ,  2
1284938, 2 ,  1
1284939, 5 ,  0
1284940, 1 ,  2
1284941, 2 ,  0
1284942, 3 ,  1
1284943, 1 ,  0
1284944, 1 ,  1
1284945, 3 ,  1
1284946, 4 ,  0
1284947, 0 ,  1
1284948, 1 ,  2
1284949, 2 ,  0
1284950, 0 ,  1
1284951, 1 ,  0
1284952, 1 ,  0
1284953, 1 ,  5
1284954, 2 ,  3
1284955, 1 ,  3
1284956, 3 ,  2
1284957, 0 ,  1
1284958, 0 ,  1
1284959, 0 ,  0
1284960, 0 ,  0
1284961, 2 ,  6
1284962, 0 ,  2
1284963, 1 ,  2
1284964, 3 ,  1
1284965, 1 ,  3
1284967, 3 ,  2
1284968, 0 ,  3
1284969, 2 ,  3
1284970, 4 ,  0
1284971, 1 ,  1
1284972, 0 ,  4
1284973, 0 ,  0
1284974, 1 ,  2
1284975, 2 ,  1
1284976, 0 ,  2
1284977, 0 ,  2
1284978, 1 ,  0
1284979, 2 ,  0
1284980, 4 ,  2
1284981, 0 ,  2
1284982, 3 ,  1
1284983, 2 ,  0
1284984, 2 ,  1
1284985, 1 ,  1
1284986, 2 ,  2
1284987, 2 ,  0
1284988, 2 ,  0
1284989, 1 ,  5
1284990, 0 ,  0
1284991, 2 ,  0
1284992, 2 ,  0
1284993, 0 ,  0
1284994, 1 ,  1
1284995, 1 ,  1
1284996, 1 ,  2
1284997, 1 ,  1
1284998, 0 ,  1
1284999, 1 ,  2
1285000, 2 ,  0
1285001, 2 ,  1
1285002, 0 ,  0
1285003, 0 ,  2
1285004, 1 ,  0
1285005, 4 ,  0
1285006, 1 ,  0
1285007, 3 ,  1
1285008, 3 ,  1
1285009, 3 ,  1
1285010, 3 ,  0
1285011, 4 ,  2
1285012, 0 ,  3
1285013, 1 ,  2
1285014, 5 ,  0
1285015, 3 ,  1
1285016, 2 ,  2
1285017, 5 ,  0
1285018, 1 ,  1
1285019, 3 ,  2
1285021, 1 ,  2
1285022, 3 ,  3
1285023, 2 ,  1
1285024, 3 ,  1
1285025, 1 ,  0
1285026, 0 ,  1
1285027, 2 ,  2
1285028, 2 ,  0
1285029, 1 ,  2
1285030, 0 ,  2
1285031, 0 ,  1
1285032, 1 ,  1
1285033, 1 ,  2
1285034, 1 ,  0
1285035, 1 ,  0
1285036, 2 ,  0
1285037, 0 ,  1
1285038, 2 ,  3
1285039, 1 ,  2
1285040, 5 ,  1
1285041, 3 ,  0
1285042, 0 ,  2
1285043, 4 ,  1
1285044, 2 ,  0
1285045, 2 ,  0
1285046, 1 ,  3
1285047, 1 ,  1
1285048, 1 ,  1
1285049, 1 ,  3
1285050, 1 ,  0
1285051, 4 ,  3
1285052, 2 ,  3
1285053, 3 ,  1
1285054, 3 ,  0
1285055, 2 ,  0
1285056, 1 ,  0
1285057, 1 ,  4
1285058, 1 ,  3
1285059, 5 ,  3
1285060, 0 ,  4
1285061, 0 ,  0
1285062, 2 ,  0
1285063, 0 ,  2
1285064, 1 ,  1
1285065, 2 ,  2
1285066, 1 ,  4
1285067, 1 ,  1
1285068, 4 ,  1
1285069, 3 ,  3
1285070, 0 ,  3
1285071, 0 ,  0
1285072, 0 ,  1
1285073, 1 ,  2
1285074, 2 ,  1
1285075, 0 ,  2
1285076, 2 ,  2
1285077, 0 ,  2
1285079, 2 ,  1
1285080, 0 ,  0
1285081, 2 ,  1
1285082, 1 ,  2
1285083, 2 ,  0
1285084, 1 ,  2
1285085, 3 ,  0
1285086, 0 ,  1
1285087, 1 ,  0
1285088, 2 ,  0
1285089, 2 ,  0
1285090, 1 ,  2
1285091, 0 ,  3
1285092, 4 ,  3
1285093, 2 ,  1
1285094, 3 ,  0
1285095, 2 ,  1
1285096, 0 ,  0
1285098, 2 ,  1
1285099, 4 ,  0
1285100, 4 ,  2
1285101, 0 ,  1
1285102, 3 ,  0
1285103, 2 ,  2
1285104, 2 ,  1
1285105, 1 ,  1
1285106, 1 ,  1
1285107, 2 ,  1
1285108, 0 ,  0
1285109, 1 ,  1
1285110, 2 ,  0
1285111, 5 ,  0
1285112, 2 ,  0
1285113, 1 ,  3
1285114, 0 ,  1
1285115, 3 ,  1
1285116, 1 ,  0
1285117, 1 ,  1
1285118, 1 ,  3
1285119, 1 ,  1
1285120, 0 ,  3
1284798, 3 ,  0
1284966, 2 ,  2
1285097, 4 ,  3
