match_id, home_goals, away_goals
505326, 1 ,  2
505327, 0 ,  0
505329, 1 ,  1
505331, 4 ,  0
505335, 0 ,  0
505337, 0 ,  4
505339, 0 ,  0
505341, 2 ,  0
505344, 1 ,  2
505346, 1 ,  1
505437, 0 ,  2
505444, 3 ,  1
505448, 2 ,  3
505453, 2 ,  1
505459, 0 ,  1
505463, 3 ,  0
505467, 1 ,  1
505469, 0 ,  1
505475, 0 ,  0
505477, 2 ,  0
505482, 0 ,  0
505485, 0 ,  1
505490, 3 ,  1
505495, 3 ,  1
505502, 8 ,  2
505504, 2 ,  1
505508, 0 ,  0
505512, 1 ,  5
505516, 0 ,  1
505521, 2 ,  0
505550, 1 ,  0
505554, 0 ,  5
505557, 2 ,  2
505562, 1 ,  1
505566, 3 ,  0
505569, 0 ,  1
505571, 0 ,  0
505574, 1 ,  0
505577, 1 ,  2
505580, 0 ,  2
505592, 1 ,  1
505593, 4 ,  3
505596, 1 ,  2
505599, 3 ,  1
505602, 2 ,  2
505605, 3 ,  1
505609, 4 ,  0
505612, 3 ,  0
505615, 4 ,  0
505622, 0 ,  3
505631, 3 ,  0
505636, 4 ,  1
505638, 2 ,  1
505644, 2 ,  0
505646, 3 ,  1
505651, 2 ,  1
505655, 1 ,  1
505659, 1 ,  1
505664, 0 ,  0
505669, 1 ,  2
505679, 2 ,  0
505685, 0 ,  4
505688, 1 ,  5
505691, 0 ,  2
505694, 6 ,  0
505696, 2 ,  0
505699, 2 ,  2
505701, 2 ,  0
505703, 2 ,  1
505708, 1 ,  2
505717, 2 ,  1
505722, 3 ,  1
505727, 1 ,  1
505729, 4 ,  1
505733, 2 ,  2
505743, 3 ,  1
505747, 1 ,  1
505752, 2 ,  0
505759, 2 ,  0
505762, 1 ,  3
505768, 3 ,  1
505779, 1 ,  2
505785, 1 ,  2
505788, 0 ,  2
505791, 1 ,  3
505797, 1 ,  1
505801, 1 ,  6
505806, 1 ,  0
505809, 1 ,  0
505815, 2 ,  2
505825, 3 ,  5
505827, 0 ,  1
505831, 3 ,  1
505840, 3 ,  3
505846, 1 ,  3
505848, 2 ,  2
505854, 3 ,  1
505860, 3 ,  1
505866, 0 ,  2
505871, 0 ,  2
505878, 3 ,  0
505882, 3 ,  2
505889, 0 ,  1
505898, 5 ,  0
505903, 1 ,  3
505907, 0 ,  0
505913, 1 ,  0
505916, 2 ,  1
505927, 2 ,  3
505931, 3 ,  1
505941, 1 ,  2
505945, 2 ,  1
505948, 3 ,  1
505951, 1 ,  2
505958, 2 ,  3
505961, 0 ,  0
505968, 0 ,  1
505974, 2 ,  0
505975, 2 ,  1
505979, 3 ,  3
505985, 1 ,  1
505987, 0 ,  2
505991, 3 ,  0
505995, 1 ,  1
505998, 1 ,  1
506000, 2 ,  1
506004, 3 ,  1
506016, 1 ,  2
506020, 0 ,  0
506026, 1 ,  3
506035, 0 ,  1
506041, 4 ,  2
506045, 0 ,  1
506048, 1 ,  0
506054, 5 ,  1
506059, 0 ,  3
506060, 1 ,  1
506064, 3 ,  0
506066, 0 ,  4
506069, 2 ,  1
506073, 1 ,  0
