team-id,team,player-id,Player,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
167,Manchester City,14260,Sergio-Agüero,21,6,2,0,3.8,82.8,0.4,4,7.81,0.4,0.2,0.4,0,0.1,0.6,0,0,1.6,2.2,0.7,0.6,1.7,2.2,25.1,82.8,0.2,0.2,0.1
167,Manchester City,73084,Kevin-De-Bruyne,8,16,2,0,2.5,83.4,0.4,8,7.80,1.7,0.7,0.8,0,0.3,1.5,0.1,0,2.9,1.7,0.9,0.1,1.6,1.7,72.8,83.4,1.6,3.5,0.4
167,Manchester City,14102,David-Silva,9,11,5,0,1.9,88.9,0.6,4,7.58,1.1,0.6,0.7,0,0.2,1.2,0.2,0,2.1,1.3,1.2,0.1,1,1.1,83.8,88.9,0.6,1.5,0.2
167,Manchester City,97692,Raheem-Sterling,18,11,3,1,2.6,84,0.2,4,7.55,0.6,0.3,1.2,0,0.2,0.9,0,0,1.7,1.9,1.8,0.6,1.8,2,35.5,84,0.2,0.2,0.2
167,Manchester City,144711,Leroy-Sané,10,15,4,0,1.8,84.2,0.5,3,7.54,0.8,0.4,0.8,0,0.2,0.4,0,0,1.8,2.7,0.8,0.2,2,2.5,34.1,84.2,0.7,0.4,0.1
167,Manchester City,19119,Fernandinho,5,3,7,0,1.4,90.1,2.8,1,7.44,1.8,1.4,1.2,0.1,1.9,1.2,0.2,0,0.6,0.6,0.8,0,0.6,1,87.5,90.1,0,3.1,0.3
167,Manchester City,27213,Fabian-Delph,1,2,2,0,0.5,93,1,1,7.16,2.1,1.4,0.7,0.3,1.6,0.9,0,0,0.5,1.4,0.8,0,0.5,0.9,73.4,93,0.1,2.4,0
167,Manchester City,75691,Nicolás-Otamendi,4,0,9,0,0.9,91.9,2.3,5,7.13,1.7,1.4,0.8,0.9,3.6,0.7,0.3,1,0.4,0.1,0.6,0,0,0.6,90.4,91.9,0,4.3,0
167,Manchester City,273257,Oleksandr-Zinchenko,0,0,1,0,0.6,92.4,2,0,7.11,2.9,0.8,0.9,0.1,0.9,0.8,0,0,1,0.4,0.1,0.3,0.3,0.3,84,92.4,0,2.1,0
167,Manchester City,122117,Aymeric-Laporte,0,0,1,0,0.3,92.5,2.7,0,7.09,0.9,1.2,1.1,0.9,2.9,0.6,0.1,0,0.2,0.3,0.4,0,0,0.2,90.1,92.5,0.1,4.7,0
167,Manchester City,69778,Kyle-Walker,0,6,2,1,0.4,87.8,2.2,0,7.05,1.5,0.9,0.5,0.5,2.1,0.4,0.1,1,0.9,0.8,0.6,0.1,0.6,1,73.8,87.8,0.2,2.7,0
167,Manchester City,279379,Gabriel-Jesus,13,3,6,0,1.9,79.7,0.7,1,7.05,0.8,0.3,1,0,0.2,0.7,0,0,0.7,0.8,0.6,0.5,0.9,1.5,20.4,79.7,0,0.4,0.1
