team-id,team,player-id,Player,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
167,Manchester City,14260,Sergio-Agüero,17,6,4,0,3.7,84.9,0.4,6,7.71,0.6,0.3,0.7,0,0,0.3,0,0,1.6,1.9,1,0.8,2.1,1.6,21.3,84.9,0.2,0.3,0.2
167,Manchester City,14102,David-Silva,7,9,5,0,2,88.2,0.3,4,7.57,1.2,0.6,0.9,0,0.3,1.1,0,0,3.2,1.1,1.5,0.1,2,1,69.2,88.2,1.2,1.9,0.6
167,Manchester City,14053,Yaya-Touré,20,9,4,0,1.8,90.1,0.9,4,7.55,1.5,0.7,1.1,0,1,1.2,0.1,0,1.2,1.2,0.7,0.1,0.9,0.8,71.5,90.1,0.1,4.6,0.1
167,Manchester City,19119,Fernandinho,5,3,8,0,1,88.3,1.2,1,7.40,2.9,1.8,1.6,0.2,1.4,1.9,0.1,0,1.2,1.1,0.7,0,0.8,0.8,50.9,88.3,0.1,2.7,0.1
167,Manchester City,5840,Martín-Demichelis,2,1,6,0,0.6,89.9,2.3,1,7.39,2,2.6,0.7,0.7,6.8,1.1,0.3,0,0.2,0.1,0.2,0,0.1,0.2,52.7,89.9,0,2.6,0
167,Manchester City,13298,Samir-Nasri,7,7,3,0,1.4,91.5,0.1,2,7.34,1.1,0.6,0.6,0,0.3,0.4,0,0,2.7,1.3,0.8,0.2,1.7,1,55.9,91.5,1.9,1.7,0.2
167,Manchester City,14244,Pablo-Zabaleta,1,6,11,0,0.6,84.7,1.3,2,7.25,3.4,2,1.5,0.3,2.5,1.1,0.3,0,0.9,0.2,0.9,0,0.7,0.6,46.7,84.7,0.3,1.8,0
167,Manchester City,6042,Gaël-Clichy,0,0,1,0,0.1,85.9,1.1,1,7.25,2.9,2,0.4,0.4,3.3,0.9,0.2,0,0.7,0.6,0.5,0,0.4,0.6,52,85.9,0.4,2.6,0
167,Manchester City,10136,Vincent-Kompany,4,1,6,1,0.6,88.1,1.3,0,7.18,2.3,2,0.8,1,5.1,0.6,0.5,1,0.2,0.6,0.4,0,0.3,0.3,40.7,88.1,0,4.1,0
167,Manchester City,9446,Jesús-Navas,4,7,0,0,1.1,85.8,0.2,3,7.15,1.3,0.6,0.2,0.1,0.7,0.3,0,0,1.9,0.8,0.5,0.1,0.8,0.8,34.2,85.8,1.5,1.8,0.1
167,Manchester City,24845,Edin-Dzeko,16,1,4,0,3.3,73.7,2.8,0,7.15,0.5,0.2,0.9,0,0.5,0.3,0.1,0,0.6,0.4,0.8,0.3,1.2,1.2,23,73.7,0,1,0.1
