team-id,team,player-id,Player,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
32,Manchester United,4564,Robin-van-Persie,26,9,6,0,3.7,80.4,1.3,10,7.71,0.6,0.4,1,0,1.2,0.2,0.2,0,1.9,0.7,1.4,1.2,2,1.3,26.8,80.4,1.1,1.1,0.1
32,Manchester United,9685,Nemanja-Vidic,1,0,2,0,0.6,87.4,4.2,2,7.39,1.4,1.8,1.1,0.5,10.5,0.1,0.8,1,0.1,0.1,0.6,0,0.1,0.1,41.5,87.4,0.1,4.3,0
32,Manchester United,4092,Rafael,3,3,6,1,0.8,84.5,1.3,4,7.36,3.1,2.1,1.3,0.1,4.5,0.8,0.4,0,0.9,0.6,1,0.1,1.1,1,43.2,84.5,0.7,1.1,0
32,Manchester United,38147,Alexander-Büttner,2,1,1,0,1.2,82.4,1.2,1,7.34,2.2,1.4,1.6,0.2,3.2,0.8,0.2,0,0.4,1.4,1.2,0,1.6,2,34,82.4,0.2,1,0
32,Manchester United,6410,Patrice-Evra,4,5,3,0,0.6,87.1,2,2,7.31,2.4,1.5,1,0.1,4.9,0.6,0.4,0,0.7,0.8,0.9,0.1,1.2,0.9,41.8,87.1,0.6,1.1,0
32,Manchester United,3859,Wayne-Rooney,12,10,7,0,3.2,82.9,0.6,3,7.27,0.7,0.5,1,0,0.9,0.4,0.1,1,1.8,0.4,0.7,0.1,1.9,0.9,45.9,82.9,0.6,3.7,0.3
32,Manchester United,22079,Jonny-Evans,3,1,2,0,0.4,89.3,2.3,1,7.24,1.7,2,0.6,0.3,8.2,0.3,0.9,2,0.3,0.1,1,0,0.2,0.4,48.9,89.3,0,3.7,0
32,Manchester United,2115,Michael-Carrick,1,4,3,0,0.5,88,0.5,1,7.09,2.3,2.1,0.8,0,1.5,1.1,0.5,0,1,0.2,0.9,0,0.8,0.4,77.1,88,0.2,5.8,0.1
32,Manchester United,18296,Luis-Antonio-Valencia,1,5,6,0,0.5,84.2,1,0,7.00,1.9,0.8,1.2,0,0.6,0.4,0.1,0,1.4,1.4,0.7,0.3,1.5,0.9,35.9,84.2,1.3,0.8,0
32,Manchester United,8166,Ashley-Young,0,3,1,0,1.4,83.5,0.6,0,6.99,1.2,0.8,0.7,0.1,0.6,0.4,0.1,0,1.8,0.5,2.1,0.2,0.9,0.9,35.3,83.5,1.2,1.4,0.1
32,Manchester United,928,Rio-Ferdinand,1,1,2,0,0.1,89.6,1.6,1,6.99,1.3,1.5,0.3,0.4,7.9,0.1,0.6,0,0.2,0.3,0.4,0,0.3,0.3,46.4,89.6,0,5,0
32,Manchester United,42862,Shinji-Kagawa,6,3,1,0,1.1,89.7,0.2,1,6.91,0.9,0.6,0.5,0,0.2,0.6,0.1,0,1,0.4,1,0.1,1.7,1.1,41.7,89.7,0.3,1.5,0.3
