team-id,team,player-id,Player,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
167,Manchester City,97692,Raheem-Sterling,17,10,3,0,2.3,85.8,0.4,8,7.61,0.9,0.5,1.2,0,0.1,0.5,0.1,0,1.9,2.4,1.3,0.4,2.6,2.2,37.1,85.8,0.4,0.3,0
167,Manchester City,14260,Sergio-Agüero,21,8,3,0,3.6,85,0.5,5,7.53,0.5,0.3,0.6,0,0.1,0.1,0,0,1,1.4,0.8,0.8,1.6,2.2,23.4,85,0,0.1,0.1
167,Manchester City,19119,Fernandinho,1,3,5,0,1,87.5,2.6,2,7.31,2,1.4,1.4,0.1,2.4,0.7,0.1,0,0.8,0.7,0.9,0.1,0.4,0.9,70.7,87.5,0,2.7,0.2
167,Manchester City,105962,Benjamin-Mendy,0,5,1,0,0.7,88.3,0.8,0,7.29,1.6,1,1.2,0.4,1.6,0.8,0.4,0,1.2,0.9,0.2,0,1.1,0.9,65,88.3,1.1,1.8,0
167,Manchester City,14102,David-Silva,6,8,3,0,1.5,87.8,0.6,1,7.26,0.9,0.7,0.8,0,0.4,0.6,0,0,2.2,0.9,0.8,0.2,0.9,0.8,61.1,87.8,0.5,1.2,0.2
167,Manchester City,136741,Bernardo-Silva,7,7,3,0,1.7,86.1,0.3,4,7.26,1.4,0.7,0.9,0,0.7,1.4,0.1,0,2,1.4,0.7,0.1,1,1.2,47.4,86.1,0.3,2,0.1
167,Manchester City,144711,Leroy-Sané,10,10,1,0,1.8,84.4,0.3,1,7.26,0.8,0.3,0.3,0,0.1,0.7,0.1,0,1.3,1.8,0.5,0.6,1.4,2.3,27.3,84.4,0.5,0.1,0.1
167,Manchester City,273257,Oleksandr-Zinchenko,0,3,1,0,0.5,91.5,1.7,0,7.19,2.4,1.4,1.1,0,1.1,1.4,0.2,0,0.9,0.4,0.4,0.1,0.4,0.5,84.6,91.5,0.5,2.6,0
167,Manchester City,77464,Ilkay-Gündogan,6,3,3,0,1.4,90.8,0.8,2,7.10,0.6,0.9,0.4,0,0.6,0.8,0.1,0,1.4,0.6,0.7,0,0.5,0.9,64.4,90.8,0.9,2.4,0.1
167,Manchester City,122117,Aymeric-Laporte,3,3,3,0,0.7,92.3,2.2,1,7.05,1.2,1.1,0.6,0.4,2.7,0.3,0.3,0,0.4,0.1,0.5,0.1,0.1,0.3,85.6,92.3,0,4.9,0
167,Manchester City,73084,Kevin-De-Bruyne,2,2,2,0,1.6,83.7,0.3,2,7.05,1.2,0.2,0.5,0.1,0.1,0.7,0.1,0,1.9,1,0.8,0.1,0.7,1.2,38.2,83.7,1.1,2.4,0.2
167,Manchester City,88300,Danilo,1,0,1,0,1.3,87,1.6,1,7.01,1.8,1.4,0.9,0.3,1.8,0.5,0,0,0.4,0.7,0.7,0,0.5,0.7,69.7,87,0.2,1.7,0
167,Manchester City,75691,Nicolás-Otamendi,0,0,1,0,0.8,92.7,2.2,0,6.98,1.4,1.6,0.4,0.6,3.1,0.2,0.2,0,0.1,0.1,0.2,0,0,0.1,69,92.7,0,2.6,0
167,Manchester City,69778,Kyle-Walker,1,1,3,0,0.6,90.1,1.4,0,6.96,1.2,1.1,0.5,0.2,1.5,0.4,0.2,0,0.7,0.5,0.4,0.1,0.4,0.8,72.4,90.1,0.1,3.5,0
167,Manchester City,104749,Riyad-Mahrez,7,4,0,0,2,84.7,0.7,3,6.96,0.5,0.3,0.4,0,0.1,0.4,0,0,0.9,0.9,0.6,0.3,1,1,29.5,84.7,0.6,1.4,0.2
167,Manchester City,10136,Vincent-Kompany,1,0,6,0,0.3,93,2.2,0,6.93,0.9,0.9,1,0.6,3.2,0.1,0.5,0,0.1,0.2,0,0.1,0,0.3,72.2,93,0,3.7,0
167,Manchester City,101374,John-Stones,0,0,1,0,0.2,94.2,2.5,0,6.87,0.7,0.6,0.3,0.3,2.5,0.2,0.4,0,0.2,0.3,0.3,0,0.1,0,73,94.2,0,4.3,0
167,Manchester City,27213,Fabian-Delph,0,1,1,1,0.4,91.3,0.8,0,6.82,2.1,1.2,0.5,0.3,1.5,1,0,0,0.3,0.7,0.6,0,0.1,0.9,62.9,91.3,0.3,2.4,0
167,Manchester City,121774,Ederson,0,1,2,0,0,82.6,0.3,0,6.66,0.1,0,0.1,0,0.5,0,0,0,0.1,0,0.1,0,0,0,24.2,82.6,0,3.3,0
167,Manchester City,279379,Gabriel-Jesus,7,3,1,0,1.5,82.6,0.5,1,6.64,0.3,0.1,0.4,0,0.1,0.2,0.1,0,0.7,0.8,0.6,0.5,1,1.1,12.3,82.6,0,0.1,0
167,Manchester City,331254,Phil-Foden,1,0,0,0,1.1,86.6,0.2,0,6.52,0.5,0.3,0.3,0,0.1,0.5,0,0,0.6,0.6,0.4,0,0.4,0.3,17.8,86.6,0.1,0.2,0
26,Liverpool,108226,Mohamed-Salah,22,8,1,0,3.6,75.9,0.3,8,7.57,0.6,0.1,0.7,0,0.1,0.3,0,0,1.8,2.1,0.8,0.7,3.1,2.9,28.4,75.9,0.4,0.6,0.3
26,Liverpool,95408,Virgil-van-Dijk,4,2,1,0,0.8,89.7,4.8,4,7.44,1,1.1,0.3,1.1,5.2,0,0.5,0,0.2,0.2,0.6,0,0,0.2,79.9,89.7,0,5.3,0
26,Liverpool,109915,Sadio-Mané,22,1,2,0,2.4,78.2,1,6,7.43,1,0.4,0.9,0.1,0.2,0.8,0.1,0,1.3,1.4,1.8,0.7,1.3,2.9,32.9,78.2,0.2,1.3,0.1
26,Liverpool,318871,Trent-Alexander-Arnold,1,12,3,0,1,77.5,0.3,1,7.36,2.1,1.2,0.5,0.3,2.1,1.1,0.1,0,1.7,0.5,0.2,0.1,0.5,1.4,58.5,77.5,2,4,0.1
26,Liverpool,96182,Roberto-Firmino,12,6,0,0,2.2,80.8,0.9,4,7.20,0.9,0.2,1.1,0,0.4,0.8,0,0,1.3,1.4,0.3,0.2,1.8,2.3,37.6,80.8,0.1,0.5,0.1
26,Liverpool,115726,Andrew-Robertson,0,11,4,0,0.4,83.2,0.7,1,7.12,2.2,0.8,0.5,0.5,1.3,0.9,0.2,0,1.4,0.8,0.4,0,0.6,0.9,66.6,83.2,0.6,2.2,0
26,Liverpool,74341,Joel-Matip,1,0,3,0,0.4,86.9,3,2,7.11,1.8,1.5,0.5,0.8,3.5,0.5,0.3,0,0.1,0.3,0.8,0,0,0.3,61,86.9,0,2.1,0
26,Liverpool,29106,Dejan-Lovren,1,0,1,0,0.5,86.6,4.1,1,7.08,1.2,0.8,0.2,1.2,3.9,0.6,0.5,0,0.1,0,0.8,0,0.1,0.2,63.2,86.6,0.2,2.6,0.1
26,Liverpool,115916,Fabinho,1,2,6,0,0.6,85.3,2,0,6.95,2.1,1,1,0.2,0.9,1.3,0.2,0,0.6,0.4,1.1,0,0.6,0.4,57.5,85.3,0.1,2.6,0
26,Liverpool,4511,James-Milner,5,4,5,1,0.8,84.6,0.6,1,6.91,1.4,0.6,0.9,0.2,0.7,0.8,0.2,0,1.4,0.5,0.9,0,0.3,1,45.2,84.6,1.2,2.6,0.1
26,Liverpool,33568,Georginio-Wijnaldum,3,0,3,0,0.9,91.1,0.9,1,6.89,1.2,0.6,0.5,0,0.7,0.4,0.2,0,0.7,0.8,0.9,0.1,1.1,1.5,50.5,91.1,0.1,1.6,0
26,Liverpool,114147,Alisson,0,0,1,0,0,80.3,0.3,0,6.79,0.1,0,0,0,0.8,0,0,0,0,0.1,0,0,0,0,28.3,80.3,0,4.8,0
26,Liverpool,136451,Joe-Gomez,0,0,2,0,0.3,87.5,1.5,0,6.76,1.1,0.9,0.8,0.4,2.4,0.4,0.3,0,0.4,0.3,0.6,0,0.1,0.6,49.2,87.5,0.1,2,0
26,Liverpool,243510,Naby-Keita,2,1,0,0,1.1,88.5,0.4,0,6.74,1.5,0.5,1,0,0.5,1.1,0.2,0,0.4,1,0.6,0,1.2,1.4,40.2,88.5,0,0.6,0.1
26,Liverpool,76304,Xherdan-Shaqiri,6,3,2,0,1.1,81.2,0.1,1,6.71,0.6,0.3,0.4,0,0.3,0.4,0,0,0.8,0.3,0.6,0.1,0.8,1,26.6,81.2,0.5,1.5,0.2
26,Liverpool,68659,Jordan-Henderson,1,3,1,1,0.5,87.2,0.8,0,6.67,1.4,0.9,0.8,0,0.4,0.7,0.1,0,0.5,0.2,0.4,0,0.3,0.7,54.4,87.2,0.2,3.3,0.1
26,Liverpool,113275,Alberto-Moreno,0,0,0,0,0.5,87.6,0,0,6.65,1.5,1,0.5,1,0,1,0,0,1.5,1,0.5,0,0,1.5,52.5,87.6,0.5,1,0
26,Liverpool,124688,Divock-Origi,3,1,0,0,1.1,70.4,0.3,0,6.57,0.5,0,0.2,0.1,0.1,0.3,0,0,0.3,0.5,0.4,0.3,0.8,0.8,9,70.4,0,0.5,0
26,Liverpool,21683,Adam-Lallana,0,0,1,0,0.4,82.1,0.7,0,6.53,1.2,0.4,0.3,0,0.1,0.5,0.1,0,0.7,0.6,0.8,0,0.8,0.8,23.2,82.1,0.2,0.4,0
26,Liverpool,23736,Daniel-Sturridge,2,1,1,0,1,80,0.2,0,6.41,0.2,0.1,0.3,0,0,0.1,0,0,0.4,0.3,0.6,0.2,0.6,0.9,10.6,80,0.1,0.5,0.1
26,Liverpool,84146,Alex-Oxlade-Chamberlain,0,0,0,0,0.5,76.9,0,0,6.35,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,6.5,76.9,0,0,0
26,Liverpool,69375,Nathaniel-Clyne,0,0,0,0,0.8,83.1,0.3,0,6.29,1,0.5,0,0,0.3,0.5,0,0,0,0,0.5,0,0.3,0.3,14.8,83.1,0,0.3,0
26,Liverpool,355358,Rafael-Camacho,0,0,0,0,0,0,0,0,6.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Chelsea,33404,Eden-Hazard,16,15,2,0,2.5,84.3,0.5,14,7.81,0.4,0.4,0.3,0,0.1,0.3,0,0,2.6,3.7,2.8,0.3,2.3,2.4,49.2,84.3,0.9,2.7,0.3
15,Chelsea,84008,Marcos-Alonso,2,4,6,0,1.5,85,2.1,2,7.18,2.4,1.3,0.9,0.2,2.8,0.8,0.1,0,1.1,0.5,1.2,0.1,0.9,1,60.7,85,0.3,1.4,0
15,Chelsea,27586,David-Luiz,3,2,3,0,0.9,88,2.3,0,7.08,1.1,1,0.9,0.7,4,0.2,0.5,0,0.6,0.3,0.8,0,0.1,0.4,72.8,88,0,6,0.3
15,Chelsea,29463,Willian,3,6,2,0,1.9,85.7,0.3,2,7.06,1.1,0.4,0.4,0,0.3,0.5,0,0,2.5,1.2,1,0.3,1.2,1.6,38.4,85.7,1.2,1.2,0.1
15,Chelsea,25931,César-Azpilicueta,1,5,4,0,0.4,87,1.8,1,7.01,2.8,1.1,1,0.4,2,0.8,0.4,0,0.7,0.3,0.4,0.1,0.2,0.9,65.3,87,0.6,1.3,0.1
15,Chelsea,44055,Pedro,8,2,2,0,1.8,86.5,0.3,5,6.97,0.9,0.6,0.5,0,0.3,0.8,0.1,0,0.9,1.4,0.8,0.3,1.1,1,34.4,86.5,0.3,1.2,0.1
15,Chelsea,114075,N-Golo-Kanté,4,4,3,0,0.8,87.9,0.8,1,6.93,2.1,1.2,1,0,0.7,1.2,0.2,0,1.3,0.9,0.4,0.2,1.5,1.6,56.2,87.9,0.2,1,0.1
15,Chelsea,19729,Gonzalo-Higuaín,5,0,0,0,3.3,77.2,0.5,0,6.89,0.7,0.1,0.4,0,0.4,0.6,0,0,1.1,0.6,0.1,0.8,1.4,1.4,22.6,77.2,0,0.9,0
15,Chelsea,106968,Jorginho,2,0,8,0,0.5,89.3,0.4,0,6.88,2.1,1.7,0.9,0,0.9,1.4,0.2,0,0.8,0.4,0.6,0,0.8,0.9,84.3,89.3,0,2.5,0.4
15,Chelsea,255777,Ruben-Loftus-Cheek,6,2,0,0,1.2,87.9,0.9,1,6.85,0.8,0.5,0.4,0,0.2,0.4,0.2,0,0.7,1.7,1,0.1,1,1,25.4,87.9,0,0.5,0
15,Chelsea,34749,Willy-Caballero,0,0,0,0,0,77.8,0,0,6.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,77.8,0,7.5,0
15,Chelsea,104010,Antonio-Rüdiger,1,0,7,0,0.8,91.5,2.5,0,6.78,1,1,0.8,0.6,2.9,0.4,0.2,0,0.2,0.1,0.5,0,0.3,0.2,76.9,91.5,0,4.5,0.1
15,Chelsea,130331,Andreas-Christensen,0,0,1,0,0,92.8,2.3,0,6.73,1.3,0.5,1,0.4,3.4,0.4,0.3,0,0,0.1,0.4,0,0,0.4,57.3,92.8,0,1.1,0
15,Chelsea,92547,Ross-Barkley,3,5,1,0,1.5,91.2,0.7,1,6.65,0.6,0.3,0.5,0,0.5,0.4,0,0,0.8,0.6,1,0,1.2,0.7,35.3,91.2,0,1.5,0.1
15,Chelsea,93894,Mateo-Kovacic,0,2,3,0,0.9,92,0.3,0,6.65,1.4,0.3,0.6,0,0.6,0.8,0.1,0,0.8,1.3,1,0,1.2,0.8,45.9,92,0,0.9,0.2
15,Chelsea,350088,Callum-Hudson-Odoi,0,1,0,0,0.6,86,0.2,0,6.65,0.8,0.3,0.1,0,0,0.2,0,0,0.9,1.2,0.6,0.3,0.7,1.1,20.7,86,0.6,0.4,0
15,Chelsea,113880,Kepa-Arrizabalaga,0,0,2,0,0,85.4,0.2,1,6.63,0,0,0,0,0.4,0,0,0,0,0,0.1,0,0,0,27.9,85.4,0,5.2,0
15,Chelsea,101955,Emerson,0,0,0,0,0.5,89.9,0.5,0,6.59,1.4,0.8,0.8,0.2,0.8,0.4,0.1,0,0.5,1,0.6,0,0.9,0.8,43.6,89.9,0.3,0.6,0.1
15,Chelsea,91213,Álvaro-Morata,5,0,3,0,2.2,76.9,1.1,0,6.56,0.5,0,1.2,0,0.4,0.4,0.1,0,0.4,0.4,1,1.3,1.4,1.8,14.3,76.9,0,0.3,0
15,Chelsea,24444,Olivier-Giroud,2,4,1,0,1.2,68.2,1.4,0,6.43,0.1,0.1,0.4,0,0.2,0.1,0,0,0.7,0.1,0.2,0.2,0.2,0.8,9.7,68.2,0,0.2,0
15,Chelsea,141312,Davide-Zappacosta,0,0,0,0,0.5,80,0.8,0,6.39,0,0.8,0.5,0,1,0.3,0,0,0.3,0.5,0.3,0,0.5,0.5,18.8,80,0,0.5,0
15,Chelsea,8040,Cesc-Fàbregas,0,0,1,0,0.2,86.5,0.3,0,6.28,1,0.2,0.2,0,0,0.7,0.2,0,0.5,0,0.5,0,0.3,0.3,32.2,86.5,0,1.3,0.5
15,Chelsea,11981,Gary-Cahill,0,0,0,0,0,88.9,0.5,0,6.12,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,9,88.9,0,0,0
15,Chelsea,33064,Victor-Moses,0,0,0,0,0,76.9,0,0,5.96,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,1,0.5,6.5,76.9,0,0,0
30,Tottenham,83532,Harry-Kane,17,4,5,0,3.6,73.1,1.8,6,7.38,0.4,0,1.1,0,0.5,0.5,0.2,0,1.1,1.4,1.9,0.4,1.6,2.9,19.7,73.1,0.1,1.6,0
30,Tottenham,104732,Paulo-Gazzaniga,0,0,0,0,0,64.2,0,0,7.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,31.7,64.2,0,6,0
