team-id,team,player-id,Player,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
15,Chelsea,33404,Eden-Hazard,14,9,2,0,2.1,86.8,0.4,10,7.96,0.7,0.6,0.3,0,0.2,0.6,0,0,2.6,4.8,3,0.1,2.7,2.1,58.4,86.8,0.3,2.3,0.2
15,Chelsea,8040,Cesc-Fàbregas,3,18,11,1,1.3,85.2,0.8,3,7.62,2.6,0.7,0.9,0,0.9,2.1,0.1,0,2.8,1.1,1.1,0,1.4,1,80.6,85.2,1.7,5.4,0.5
15,Chelsea,38128,Nemanja-Matic,1,3,10,1,0.8,86.4,2.1,6,7.50,3.6,2,1.3,0.1,3.3,2.2,0.2,0,0.7,1.5,0.6,0.2,1.2,0.5,63.8,86.4,0.1,3.3,0
15,Chelsea,24248,Diego-Costa,20,3,8,0,2.9,77.4,1.3,5,7.43,0.5,0.2,1.3,0,0.8,0.3,0,0,1.6,1.1,1,1,2.7,2.2,27.3,77.4,0.2,0.4,0
15,Chelsea,15338,Branislav-Ivanovic,4,5,10,1,1.2,81.2,2.6,1,7.25,2.3,1,1.1,0.1,3.6,0.4,0.1,0,0.9,0.8,0.7,0.1,0.6,0.6,39.5,81.2,0.4,1.5,0
15,Chelsea,25931,César-Azpilicueta,0,3,1,1,0.2,83.6,1.3,3,7.24,3,2,0.7,0.1,3.1,1.1,0.4,0,0.6,0.3,0.5,0,0.2,0.5,44.9,83.6,0.2,1.6,0
15,Chelsea,41065,Oscar,6,8,5,0,2.6,82.6,1.1,1,7.20,1.9,0.5,1.3,0,1.1,1.3,0.1,0,1.3,0.6,0.8,0.1,1.5,1.1,46.1,82.6,0.2,1.6,0.1
15,Chelsea,70,John-Terry,5,0,2,0,0.5,89.6,2.6,1,7.03,1.1,0.9,0.3,0.6,5.7,0.3,0.8,1,0.2,0,0.5,0,0,0.1,42.3,89.6,0,1.6,0
15,Chelsea,29463,Willian,2,3,3,0,1.5,85.1,0.4,0,7.02,1,0.4,0.8,0,0.2,1,0,0,1.4,1.8,1.5,0.1,1,1.2,38,85.1,0.7,2.4,0
15,Chelsea,11981,Gary-Cahill,1,0,5,0,0.6,86.5,3.3,0,6.96,1,0.8,0.6,1,6.1,0.3,0.8,0,0.1,0.1,0.5,0,0.1,0.2,36.6,86.5,0,2,0
